anio,alcaldia_norm,total_carpetas,robos_territoriales,fraude,delitos_unicos,categorias_unicas,pct_latitud_nula,pct_longitud_nula,ROBO_A_CASA_HABITACION,ROBO_A_NEGOCIO,ROBO_A_PASAJERO,ROBO_A_REPARTIDOR,ROBO_A_TRANSEUNTE,ROBO_DE_ACCESORIOS_AUTO,ROBO_DE_VEHICULO,ROBO_A_TRANSPORTISTA
2016.0,ALVARO OBREGON,12823,3993.0,650.0,282,0,16.372799999999998,16.372799999999998,366.0,1068.0,134.0,110.0,932.0,223.0,1160.0,0.0
2016.0,AZCAPOTZALCO,10455,3852.0,516.0,274,0,24.5944,24.5944,371.0,1021.0,124.0,85.0,802.0,288.0,1161.0,0.0
2016.0,BENITO JUAREZ,17346,6049.0,1757.0,327,0,4.6731,4.6731,647.0,1776.0,194.0,49.0,1265.0,679.0,1439.0,0.0
2016.0,CDMX INDETERMINADA,41,0.0,6.0,27,0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,COYOACAN,14204,4697.0,826.0,292,0,27.2498,27.2498,480.0,1348.0,129.0,45.0,875.0,344.0,1476.0,0.0
2016.0,CUAJIMALPA DE MORELOS,2972,641.0,204.0,206,0,25.0915,25.0915,91.0,280.0,12.0,10.0,74.0,29.0,145.0,0.0
2016.0,CUAUHTEMOC,34214,9057.0,3573.0,448,0,154.785,154.785,566.0,2440.0,827.0,112.0,3192.0,503.0,1417.0,0.0
2016.0,GUSTAVO A MADERO,19754,6984.0,864.0,340,0,48.522,48.522,673.0,1768.0,344.0,241.0,1535.0,353.0,2070.0,0.0
2016.0,IZTACALCO,8408,2524.0,315.0,246,0,20.609099999999998,20.609099999999998,282.0,393.0,157.0,61.0,676.0,185.0,770.0,0.0
2016.0,IZTAPALAPA,30323,10331.0,1012.0,371,0,51.16,51.16,891.0,2611.0,521.0,436.0,2806.0,342.0,2724.0,0.0
2016.0,LA MAGDALENA CONTRERAS,3199,713.0,161.0,194,0,5.0256,5.0256,166.0,98.0,20.0,14.0,139.0,56.0,220.0,0.0
2016.0,MIGUEL HIDALGO,13202,3504.0,1423.0,310,0,18.3339,18.3339,352.0,958.0,137.0,52.0,685.0,173.0,1147.0,0.0
2016.0,MILPA ALTA,1189,232.0,45.0,135,0,6.5854,6.5854,52.0,43.0,3.0,6.0,31.0,12.0,85.0,0.0
2016.0,TLAHUAC,4337,1110.0,148.0,231,0,27.5809,27.5809,201.0,212.0,52.0,20.0,264.0,58.0,303.0,0.0
2016.0,TLALPAN,12160,3602.0,624.0,300,0,32.927499999999995,32.927499999999995,589.0,1062.0,92.0,34.0,514.0,262.0,1049.0,0.0
2016.0,VENUSTIANO CARRANZA,11265,3309.0,356.0,268,0,53.7014,53.7014,339.0,730.0,181.0,93.0,932.0,248.0,786.0,0.0
2016.0,XOCHIMILCO,6489,2002.0,251.0,253,0,33.0971,33.0971,309.0,341.0,74.0,20.0,510.0,75.0,673.0,0.0
2016.0,,2165,329.0,161.0,187,0,999.8788,999.8788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,ALVARO OBREGON,14592,5242.0,713.0,389,0,39.01,39.01,374.0,1097.0,129.0,111.0,1380.0,326.0,1825.0,0.0
2017.0,AZCAPOTZALCO,11498,4966.0,476.0,371,0,21.7466,21.7466,303.0,1114.0,111.0,45.0,1544.0,401.0,1448.0,0.0
2017.0,BENITO JUAREZ,20760,8834.0,2036.0,430,0,17.2842,17.2842,724.0,1884.0,309.0,34.0,2196.0,1824.0,1863.0,0.0
2017.0,CDMX INDETERMINADA,35,0.0,7.0,18,0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,COYOACAN,15533,5510.0,841.0,400,0,10.0097,10.0097,558.0,1247.0,175.0,74.0,1252.0,553.0,1651.0,0.0
2017.0,CUAJIMALPA DE MORELOS,3165,719.0,238.0,265,0,147.6781,147.6781,129.0,249.0,9.0,16.0,79.0,36.0,201.0,0.0
2017.0,CUAUHTEMOC,38366,12901.0,3522.0,570,0,102.2823,102.2823,596.0,2533.0,1611.0,139.0,5021.0,1083.0,1918.0,0.0
2017.0,GUSTAVO A MADERO,23049,8459.0,844.0,463,0,63.2277,63.2277,704.0,2043.0,444.0,254.0,1970.0,812.0,2232.0,0.0
2017.0,IZTACALCO,9823,3741.0,489.0,350,0,51.518,51.518,303.0,515.0,276.0,59.0,1230.0,305.0,1053.0,0.0
2017.0,IZTAPALAPA,33892,12302.0,968.0,511,0,74.3243,74.3243,922.0,2931.0,648.0,603.0,3623.0,429.0,3146.0,0.0
2017.0,LA MAGDALENA CONTRERAS,3302,773.0,135.0,241,0,6.0584999999999996,6.0584999999999996,211.0,122.0,14.0,16.0,116.0,65.0,229.0,0.0
2017.0,MIGUEL HIDALGO,16052,6223.0,1418.0,424,0,10.1198,10.1198,373.0,1397.0,372.0,75.0,1680.0,390.0,1936.0,0.0
2017.0,MILPA ALTA,1469,267.0,50.0,184,0,34.5554,34.5554,78.0,33.0,5.0,7.0,50.0,6.0,88.0,0.0
2017.0,TLAHUAC,5260,1472.0,189.0,304,0,19.1637,19.1637,182.0,285.0,71.0,78.0,425.0,52.0,379.0,0.0
2017.0,TLALPAN,12910,3819.0,643.0,399,0,17.7561,17.7561,514.0,932.0,80.0,49.0,660.0,439.0,1145.0,0.0
2017.0,VENUSTIANO CARRANZA,12996,4030.0,431.0,366,0,32.9212,32.9212,362.0,1006.0,274.0,90.0,1120.0,322.0,856.0,0.0
2017.0,XOCHIMILCO,7039,2327.0,214.0,327,0,32.6145,32.6145,380.0,403.0,90.0,45.0,597.0,77.0,735.0,0.0
2017.0,,2630,762.0,156.0,247,0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,ALVARO OBREGON,16853,6879.0,901.0,421,0,60.359199999999994,60.359199999999994,438.0,1463.0,254.0,120.0,1754.0,448.0,2402.0,0.0
2018.0,AZCAPOTZALCO,12302,5643.0,528.0,389,0,21.1084,21.1084,387.0,1225.0,230.0,99.0,1726.0,428.0,1548.0,0.0
2018.0,BENITO JUAREZ,22880,10827.0,2149.0,463,0,10.974,10.974,850.0,2368.0,846.0,50.0,2022.0,2155.0,2536.0,0.0
