anio_hecho,fecha_hecho,anio_inicio,fecha_inicio,delito,alcaldia_hecho,latitud,longitud,anio_hecho_clean,delito_norm,alcaldia_norm,is_robo_territorial,is_fraude,robo_subtipo
2015.0,2015-12-31,2016,2016-01-01,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,TLALPAN,19.30086,-99.20877,2016.0,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,TLALPAN,0.0,0.0,
2015.0,2015-12-31,2016,2016-01-01,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,TLALPAN,19.29003,-99.21748,2016.0,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,TLALPAN,1.0,0.0,ROBO_A_PASAJERO
2016.0,2016-01-01,2016,2016-01-01,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,IZTAPALAPA,19.3408,-99.11431,2016.0,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,IZTAPALAPA,1.0,0.0,ROBO_A_TRANSEUNTE
2015.0,2015-12-31,2016,2016-01-01,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,GUSTAVO A. MADERO,19.45106,-99.08669,2016.0,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,GUSTAVO A MADERO,1.0,0.0,ROBO_DE_VEHICULO
2015.0,2015-12-31,2016,2016-01-01,HOMICIDIOS INTENCIONALES (OTROS),BENITO JUAREZ,19.38095,-99.13982,2016.0,HOMICIDIOS INTENCIONALES OTROS,BENITO JUAREZ,0.0,0.0,
2015.0,2015-12-31,2016,2016-01-01,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,COYOACAN,19.32651,-99.11497,2016.0,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,COYOACAN,1.0,0.0,ROBO_A_TRANSEUNTE
2015.0,2015-12-31,2016,2016-01-01,ROBO DE OBJETOS,IZTAPALAPA,19.38117,-99.07182,2016.0,ROBO DE OBJETOS,IZTAPALAPA,0.0,0.0,
2015.0,2015-12-31,2016,2016-01-01,PERDIDA DE LA VIDA POR CAIDA,GUSTAVO A. MADERO,,,2016.0,PERDIDA DE LA VIDA POR CAIDA,GUSTAVO A MADERO,0.0,0.0,
2015.0,2015-12-31,2016,2016-01-01,LESIONES INTENCIONALES POR ARMA DE FUEGO,GUSTAVO A. MADERO,19.48364,-99.07066,2016.0,LESIONES INTENCIONALES POR ARMA DE FUEGO,GUSTAVO A MADERO,0.0,0.0,
2015.0,2015-12-31,2016,2016-01-01,PERDIDA DE LA VIDA POR OTRAS CAUSAS,IZTAPALAPA,19.32098,-99.02693,2016.0,PERDIDA DE LA VIDA POR OTRAS CAUSAS,IZTAPALAPA,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,IZTAPALAPA,19.31861,-99.07572,2016.0,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,IZTAPALAPA,0.0,0.0,
2015.0,2015-12-31,2016,2016-01-01,HOMICIDIO CULPOSO POR ARMA DE FUEGO,GUSTAVO A. MADERO,19.50664,-99.12455,2016.0,HOMICIDIO CULPOSO POR ARMA DE FUEGO,GUSTAVO A MADERO,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,MIGUEL HIDALGO,19.45716,-99.17253,2016.0,DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,MIGUEL HIDALGO,0.0,0.0,
2015.0,2015-12-31,2016,2016-01-01,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,IZTAPALAPA,19.35172,-99.07616,2016.0,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,IZTAPALAPA,1.0,0.0,ROBO_DE_VEHICULO
2015.0,2015-12-16,2016,2016-01-01,ROBO DE OBJETOS,BENITO JUAREZ,19.39904,-99.16282,2016.0,ROBO DE OBJETOS,BENITO JUAREZ,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,ROBO A CASA HABITACION SIN VIOLENCIA,COYOACAN,19.31267,-99.11181,2016.0,ROBO A CASA HABITACION SIN VIOLENCIA,COYOACAN,1.0,0.0,ROBO_A_CASA_HABITACION
2016.0,2016-01-01,2016,2016-01-01,DAÑO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO,AZCAPOTZALCO,19.47936,-99.17994,2016.0,DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO,AZCAPOTZALCO,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,LESIONES CULPOSAS,VENUSTIANO CARRANZA,,,2016.0,LESIONES CULPOSAS,VENUSTIANO CARRANZA,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,ROBO A NEGOCIO CON VIOLENCIA,IZTACALCO,19.3937,-99.08147,2016.0,ROBO A NEGOCIO CON VIOLENCIA,IZTACALCO,1.0,0.0,ROBO_A_NEGOCIO
2016.0,2016-01-01,2016,2016-01-01,LESIONES INTENCIONALES POR ARMA DE FUEGO,ALVARO OBREGON,19.39787,-99.20915,2016.0,LESIONES INTENCIONALES POR ARMA DE FUEGO,ALVARO OBREGON,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (CAIDA),VENUSTIANO CARRANZA,,,2016.0,HOMICIDIO CULPOSO POR TRANSITO VEHICULAR CAIDA,VENUSTIANO CARRANZA,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,PERDIDA DE LA VIDA POR QUEMADURA,MIGUEL HIDALGO,,,2016.0,PERDIDA DE LA VIDA POR QUEMADURA,MIGUEL HIDALGO,0.0,0.0,
2015.0,2015-11-06,2016,2016-01-01,FRAUDE,ALVARO OBREGON,19.36557,-99.19248,2016.0,FRAUDE,ALVARO OBREGON,0.0,1.0,
2015.0,2015-12-31,2016,2016-01-01,LESIONES INTENCIONALES POR ARMA BLANCA,CUAUHTEMOC,,,2016.0,LESIONES INTENCIONALES POR ARMA BLANCA,CUAUHTEMOC,0.0,0.0,
2016.0,2016-01-01,2016,2016-01-01,LESIONES INTENCIONALES POR ARMA DE FUEGO,CUAUHTEMOC,19.45631,-99.15491,2016.0,LESIONES INTENCIONALES POR ARMA DE FUEGO,CUAUHTEMOC,0.0,0.0,
2017.0,2017-02-22,2017,2017-02-23,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,CUAUHTEMOC,19.41472,-99.13487,2017.0,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,CUAUHTEMOC,1.0,0.0,ROBO_A_TRANSEUNTE
2017.0,2017-02-23,2017,2017-02-23,DAÑO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,TLALPAN,19.2669,-99.24185,2017.0,DANO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,TLALPAN,0.0,0.0,
2017.0,2017-02-23,2017,2017-02-23,ROBO A CASA HABITACION CON VIOLENCIA,GUSTAVO A. MADERO,19.45863,-99.08589,2017.0,ROBO A CASA HABITACION CON VIOLENCIA,GUSTAVO A MADERO,1.0,0.0,ROBO_A_CASA_HABITACION
2017.0,2017-02-23,2017,2017-02-23,ROBO DE OBJETOS,CUAUHTEMOC,19.4305,-99.13032,2017.0,ROBO DE OBJETOS,CUAUHTEMOC,0.0,0.0,
2017.0,2017-02-23,2017,2017-02-23,NARCOMENUDEO POSESION SIMPLE,TLALPAN,19.27147,-99.14631,2017.0,NARCOMENUDEO POSESION SIMPLE,TLALPAN,0.0,0.0,
2017.0,2017-02-23,2017,2017-02-23,DENUNCIA DE HECHOS,IZTACALCO,19.40476,-99.12111,2017.0,DENUNCIA DE HECHOS,IZTACALCO,0.0,0.0,
2017.0,2017-02-10,2017,2017-02-23,DAÑO EN PROPIEDAD AJENA CULPOSA,CUAUHTEMOC,19.4342,-99.13584,2017.0,DANO EN PROPIEDAD AJENA CULPOSA,CUAUHTEMOC,0.0,0.0,
2017.0,2017-02-23,2017,2017-02-23,ROBO A NEGOCIO CON VIOLENCIA,GUSTAVO A. MADERO,19.55978,-99.13197,2017.0,ROBO A NEGOCIO CON VIOLENCIA,GUSTAVO A MADERO,1.0,0.0,ROBO_A_NEGOCIO
2017.0,2017-02-07,2017,2017-02-23,AMENAZAS,GUSTAVO A. MADERO,19.47495,-99.13177,2017.0,AMENAZAS,GUSTAVO A MADERO,0.0,0.0,
2017.0,2017-01-27,2017,2017-02-23,DENUNCIA DE HECHOS,IZTACALCO,19.38953,-99.06214,2017.0,DENUNCIA DE HECHOS,IZTACALCO,0.0,0.0,
2017.0,2017-02-17,2017,2017-02-23,ROBO A OFICINA PÚBLICA SIN VIOLENCIA,IZTACALCO,19.39835,-99.11765,2017.0,ROBO A OFICINA PUBLICA SIN VIOLENCIA,IZTACALCO,0.0,0.0,
2017.0,2017-02-21,2017,2017-02-23,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,TLALPAN,19.28339,-99.22369,2017.0,DANO EN PROPIEDAD AJENA CULPOSA POR TRANSITO VEHICULAR A AUTOMOVIL,TLALPAN,0.0,0.0,
2017.0,2017-02-23,2017,2017-02-23,ROBO A NEGOCIO SIN VIOLENCIA,ALVARO OBREGON,19.36741,-99.26389,2017.0,ROBO A NEGOCIO SIN VIOLENCIA,ALVARO OBREGON,1.0,0.0,ROBO_A_NEGOCIO
2017.0,2017-02-23,2017,2017-02-23,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,IZTAPALAPA,19.37952,-99.11377,2017.0,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,IZTAPALAPA,1.0,0.0,ROBO_A_TRANSEUNTE
