delito,frecuencia
VIOLENCIA FAMILIAR,261172
FRAUDE,152837
AMENAZAS,135603
ROBO DE OBJETOS,112205
ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,88453
ROBO A NEGOCIO SIN VIOLENCIA,75872
ROBO DE ACCESORIOS DE AUTO,74457
ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO,57559
ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,42161
ROBO A CASA HABITACION SIN VIOLENCIA,40794
DENUNCIA DE HECHOS,38411
ABUSO DE CONFIANZA,37242
USURPACION DE IDENTIDAD,36263
DESPOJO,34293
ABUSO SEXUAL,32084
DANO EN PROPIEDAD AJENA CULPOSA POR TRANSITO VEHICULAR A AUTOMOVIL,31986
NARCOMENUDEO POSESION SIMPLE,29452
LESIONES INTENCIONALES POR GOLPES,26743
ROBO A NEGOCIO CON VIOLENCIA,25618
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO,23320
LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,23249
DANO EN PROPIEDAD AJENA INTENCIONAL,20512
ROBO A PASAJERO CONDUCTOR DE VEHICULO CON VIOLENCIA,18564
FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO,18544
ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,17621
TENTATIVA DE EXTORSION,17555
DANO EN PROPIEDAD AJENA CULPOSA,16233
ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,15824
ROBO DE MOTOCICLETA SIN VIOLENCIA,14726
ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,14517
PRODUCCION IMPRESION ENAJENACION DISTRIBUCION ALTERACION O FALSIFICACION DE TITULOS AL PORTADOR DOCUMENTOS DE CREDITO PUBLICOS O VALES DE CANJE,14120
ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,14074
ROBO DE VEHICULO DE PEDALES,13884
PERDIDA DE LA VIDA POR OTRAS CAUSAS,12520
DANO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,12431
ROBO A REPARTIDOR CON VIOLENCIA,12258
LESIONES INTENCIONALES POR ARMA DE FUEGO,12235
ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,11739
NARCOMENUDEO POSESION CON FINES DE VENTA COMERCIO Y SUMINISTRO,11328
ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA,10578
LA ADMINISTRACION DE JUSTICIA,10387
ROBO DE PLACA DE AUTOMOVIL,10231
ROBO DE DINERO,10208
LESIONES INTENCIONALES POR ARMA BLANCA,9241
ENCUBRIMIENTO,8876
ACOSO SEXUAL,8853
ROBO DE DOCUMENTOS,8659
VIOLACION,8628
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS,8313
LESIONES CULPOSAS POR TRANSITO VEHICULAR,8301
COBRANZA ILEGITIMA,8005
CONTRA LA INTIMIDAD SEXUAL,7662
ROBO A PASAJERO A BORDO DE TRANSPORTE PUBLICO CON VIOLENCIA,7548
DISCRIMINACION,7498
FALSIFICACION O ALTERACION Y USO INDEBIDO DE DOCUMENTOS,6981
ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,6868
VIOLACION EQUIPARADA,6822
SUSTRACCION DE MENORES,6809
LESIONES CULPOSAS,6700
HOMICIDIO POR ARMA DE FUEGO,6636
ROBO DE MOTOCICLETA CON VIOLENCIA,6248
NEGACION DEL SERVICIO PUBLICO,6074
ROBO S V DENTRO DE NEGOCIOS AUTOSERVICIOS CONVENIENCIA,5801
LESIONES INTENCIONALES,5488
PRIVACION DE LA LIBERTAD PERSONAL,5335
DANO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES,5313
DANO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,5183
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,5141
ALLANAMIENTO DE MORADA DESPACHO OFICINA O ESTABLECIMIENTO MERCANTIL,5129
OMISION DE AUXILIO O DE CUIDADO,5038
CONTRA EL CUMPLIMIENTO DE LA OBLIGACION ALIMENTARIA,4975
TORTURA,4959
EXTORSION,4835
ROBO A PASAJERO A BORDO DE METROBUS SIN VIOLENCIA,4655
PERDIDA DE LA VIDA POR SUICIDIO,4556
ROBO DE VEHICULO DE SERVICIO PUBLICO CON VIOLENCIA,4489
ABUSO DE AUTORIDAD,4295
ROBO A PASAJERO A BORDO DE TRANSPORTE PUBLICO SIN VIOLENCIA,4257
ROBO DE VEHICULO DE SERVICIO PUBLICO SIN VIOLENCIA,3996
PERDIDA DE LA VIDA POR ENFERMEDAD,3970
QUEBRANTAMIENTO DE SELLOS,3937
ROBO A CASA HABITACION CON VIOLENCIA,3868
ROBO A REPARTIDOR SIN VIOLENCIA,3651
ROBO A TRANSEUNTE EN NEGOCIO CON VIOLENCIA,3591
DELITOS AMBIENTALES,3505
LESIONES CULPOSAS POR CAIDA,3411
FALSEDAD ANTE AUTORIDADES,3374
ROBO DE OBJETOS A ESCUELA,3368
FALSIFICACION DE DOCUMENTOS,3301
ATAQUE A LAS VIAS GENERALES DE COMUNICACION,2870
MALTRATO ANIMAL,2842
ROBO EN EVENTOS MASIVOS DEPORTIVOS CULTURALES RELIGIOSOS Y ARTISTICOS S V,2825
COHECHO,2765
DELITOS ELECTORALES,2754
USO DE DOCUMENTO FALSO,2729
HOMICIDIO CULPOSO POR TRANSITO VEHICULAR COLISION,2707
HOMICIDIO CULPOSO POR TRANSITO VEHICULAR ATROPELLADO,2550
DANO EN PROPIEDAD AJENA CULPOSA POR TRANSITO VEHICULAR A BIENES INMUEBLES,2488
TENTATIVA DE ROBO,2467
ROBO A TRANSEUNTE SALIENDO DEL BANCO CON VIOLENCIA,2444
RETENCION DE MENORES,2387
ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO SIN VIOLENCIA,2353
ALLANAMIENTO DE MORADA,2333
EJERCICIO ILEGAL Y ABANDONO DEL SERVICIO PUBLICO,2247
PERDIDA DE LA VIDA POR CAIDA,2233
ABANDONO DE PERSONA,2153
ROBO A NEGOCIO SIN VIOLENCIA POR FARDEROS TIENDAS DE CONVENIENCIA,1985
CORRUPCION DE PERSONAS MENORES DE EDAD O PERSONAS QUE NO TENGAN CAPACIDAD PARA COMPRENDER EL SIGNIFICADO DEL HECHO O DE PERSONAS QUE NO TENGAN CAPACIDAD DE RESISTIR LA CONDUCTA,1922
RESPONSABILIDAD PROFESIONAL Y TECNICA,1844
INSOLVENCIA ALIMENTARIA,1829
PERDIDA DE LA VIDA POR PARO CARDIACO,1828
PERSONAS EXTRAVIADAS Y AUSENTES,1808
ROBO A TRANSEUNTE CONDUCTOR DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,1799
DDH OTRAS MATERIAS,1719
PORTACION DE ARMA DE FUEGO,1690
DDH FRVT,1574
ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS TIENDAS DE CONVENIENCIA,1551
DDH RELACIONADAS,1512
DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES,1482
ROBO A PASAJERO A BORDO DE PESERO COLECTIVO SIN VIOLENCIA,1454
ROBO A TRANSEUNTE A BORDO DE TAXI PUBLICO Y PRIVADO CON VIOLENCIA,1444
HOMICIDIO POR ARMA BLANCA,1403
ENCUBRIMIENTO POR FAVORECIMIENTO Y RECEPTACION,1352
ROBO A OFICINA PUBLICA SIN VIOLENCIA,1337
CONTRA FUNCIONARIOS PUBLICOS,1336
USO INDEBIDO DE ATRIBUCIONES Y FACULTADES,1279
FALSEDAD DE DECLARACIONES,1260
RETENCION O SUSTRACCION DE MENORES INCAPACES,1257
ABORTO,1239
ROBO A PASAJERO EN TROLEBUS SIN VIOLENCIA,1228
ROBO A PASAJERO A BORDO DE METRO CON VIOLENCIA,1225
DANO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO,1145
DELITOS DE ABOGADOS PATRONOS LITIGANTES Y ASESORES JURIDICOS,1063
ROBO DE ARMA,1056
ROBO DE ANIMALES,1012
TENTATIVA DE HOMICIDIO,1012
LESIONES CULPOSAS POR CAIDA DE VEHICULO EN MOVIMIENTO,1010
REVELACION DE SECRETOS,984
HOMICIDIO POR GOLPES,959
SECUESTRO EXPRESS PARA COMETER ROBO O EXTORSION,923
POSESION DE VEHICULO ROBADO,906
DISPAROS DE ARMA DE FUEGO,906
DANO EN PROPIEDAD AJENA INTENCIONAL A VIAS DE COMUNICACION,900
ROBO A REPARTIDOR Y VEHICULO CON VIOLENCIA,889
LESIONES CULPOSAS POR QUEMADURAS,882
EJERCICIO INDEBIDO DEL SERVIDOR PUBLICO,880
DDH SIN DATOS,873
DDH ANONIMAS,870
HOMICIDIOS INTENCIONALES OTROS,844
TRATA DE PERSONAS,798
DESOBEDENCIA DE PARTICULARES,746
RESISTENCIA DE PARTICULARES SE OPONGA O RESISTA,710
PORTACION ARMA PROHIB,702
TALA,697
ROBO A PASAJERO CONDUCTOR DE TAXI CON VIOLENCIA,688
ROBO A TRANSPORTISTA Y VEHICULO PESADO CON VIOLENCIA,684
ROBO A TRANSEUNTE EN RESTAURANT CON VIOLENCIA,677
ROBO A TRANSEUNTE SALIENDO DEL CAJERO CON VIOLENCIA,664
PORTACION FABRICACION E IMPORTACION DE OBJETOS APTOS PARA AGREDIR,655
ATAQUE A LAS VIAS DE COMUNICACION DANO A VIAS O MEDIOS DE TRANSPORTE,645
USURPACION DE PROFESION,641
ROBO DE FLUIDOS,640
PORNOGRAFIA,622
RESPONSABILIDAD PROFESIONAL,621
ROBO A PASAJERO EN TREN LIGERO SIN VIOLENCIA,588
PERDIDA DE LA VIDA POR QUEMADURA,568
ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA,538
ENCUBRIMIENTO POR FAVORECIMIENTO,535
ROBO DE ALHAJAS,485
TENTATIVA DE SUICIDIO,481
TENTATIVA DE ROBO DE VEHICULO,475
ROBO A LOCALES SEMIFIJOS PUESTOS DE ALIMENTOS BEBIDAS ENSERES PERIODICOS LOTERIA OTROS,458
CORRUPCION DE MENORES,455
HOMICIDIO CULPOSO POR TRANSITO VEHICULAR CAIDA,446
LESIONES CULPOSAS ACCIDENTE LABORAL,442
TENTATIVA DE FEMINICIDIO,434
PRIV ILEGAL DE LA LIB Y ROBO DE VEHICULO,426
ROBO A CASA HABITACION Y VEHICULO SIN VIOLENCIA,399
PERDIDA DE LA VIDA POR PRECIPITACION,392
DANO EN PROPIEDAD AJENA CULPOSA POR TRANSITO VEHICULAR A VIAS DE COMUNICACION,374
CAMBIO DE USO DE SUELO,348
ROBO A NEGOCIO CON VIOLENCIA POR FARDEROS TIENDAS DE AUTOSERVICIO,338
HOMICIDIO CULPOSO POR TRANSITO VEHICULAR,334
FEMINICIDIO,333
ROBO A PASAJERO EN RTP CON VIOLENCIA,330
VIOLACION EQUIPARADA POR CONOCIDO,328
VIOLACION TUMULTUARIA,323
CONTAMINACION O RESIDUOS,322
USURPACION DE FUNCIONES PUBLICAS,320
ROBO A CASA HABITACION Y VEHICULO CON VIOLENCIA,313
ROBO A PASAJERO A BORDO DE TAXI SIN VIOLENCIA,309
ACOSO SEXUAL AGRAVADO EN CONTRA DE MENORES,309
ROBO DE VEHICULO DE SERVICIO DE TRANSPORTE SIN VIOLENCIA,305
DELITOS DE ABOGADOS PATRONOS Y LITIGANTES,300
ROBO A PASAJERO A BORDO DE METROBUS CON VIOLENCIA,297
DANO SUELO ACTIVIDAD INVASION O EXTRACCION,293
DDH FDS,288
TENTATIVA DE FRAUDE,277
PERDIDA DE LA VIDA POR INTOXICACION,271
ESTUPRO,268
PERDIDA DE LA VIDA POR CONGESTION ALCOHOLICA,264
DDH REDES,262
VIOLACION DE CORRESPONDENCIA,261
DDH OFICIO COLABORACION,261
ROBO DE VEHICULO DE SERVICIO OFICIAL SIN VIOLENCIA,250
INTIMIDACION,247
PERDIDA DE LA VIDA POR SUICIDIO EN EL METRO,239
PELIGRO DE CONTAGIO,236
DDH CERESO,228
PLAGIO O SECUESTRO,227
PORNOGRAFIA INFANTIL,221
TENTATIVA DE VIOLACION,219
PERDIDA DE LA VIDA POR ACCIDENTE LABORAL,205
PECULADO,199
PERDIDA DE LA VIDA POR AHOGAMIENTO,198
TRAFICO DE INFLUENCIA,198
ROBO A NEGOCIO Y VEHICULO CON VIOLENCIA,184
ROBO A PASAJERO EN RTP SIN VIOLENCIA,176
VARIACION DE NOMBRE O DOMICILIO,172
OPERACIONES CON RECURSOS DE PROCEDENCIA ILICITA,166
GESTION AMBIENTAL,160
HOMICIDIO CULPOSO POR ARMA DE FUEGO,156
VIOLACION TUMULTUARIA EQUIPARADA,156
ROBO A PASAJERO EN TREN SUBURBANO SIN VIOLENCIA,153
