numren,sexo,edad,folio,tam_loc,est_dis,upm,factor,ur_rur_2500,municipio,entidad,ccevj,CBDj,CSj,CTELJ,CENJ,rei,ett,CASi,CASSi,cyt,nbi,mmip,E_ccevj,E_CBDj,E_CSj,E_CTELJ,E_CENJ,E_rei,E_CASSi,E_CASi,E_nbi,E_cict,E_ett,E_cyt,E_mmip,año,anio,is_cdmx,municipio_num,alcaldia_norm
1,1,40,9001688011,1,133,24120,1307,1,2,9,0.037500083,-0.073480844,0.0,-0.5,0.0,-0.375,1.324119806,0.0,0.0,0.498131752,-0.09546186,0.276127756,3,4,4,6,4,5,4,4,4,3,3,2,3,2016,2016,True,2,AZCAPOTZALCO
2,2,57,9001688011,1,133,24120,1307,1,2,9,0.037500083,-0.073480844,0.0,-0.5,0.0,-0.1875,1.324119806,0.0,0.0,0.498131752,-0.05121186,0.292677253,3,4,4,6,4,5,4,4,4,3,3,2,3,2016,2016,True,2,AZCAPOTZALCO
3,2,17,9001688011,1,133,24120,1307,1,2,9,0.037500083,-0.073480844,0.0,-0.5,0.0,-0.071428537,1.324119806,0.0,0.0,0.498131752,-0.023818996,0.302922159,3,4,4,6,4,4,4,4,4,3,3,2,3,2016,2016,True,2,AZCAPOTZALCO
4,2,1,9001688011,1,133,24120,1307,1,2,9,0.037500083,-0.073480844,0.0,-0.5,0.0,0.0,1.324119806,0.0,0.0,0.498131752,-0.006961862,0.309226751,3,4,4,6,4,4,4,4,4,3,3,2,3,2016,2016,True,2,AZCAPOTZALCO
1,1,83,9001688021,1,133,24120,1307,1,2,9,-1.0,-0.011334419,0.0,0.0,0.0,-0.315789461,2.0,0.0,0.0,-0.052456021,-0.403183699,-0.183628172,6,4,4,4,4,5,4,4,5,4,1,4,5,2016,2016,True,2,AZCAPOTZALCO
1,2,44,9001688041,1,133,24120,1307,1,2,9,-0.448275805,-0.910926342,0.0,0.0,0.0,-0.3125,1.03125,0.0,0.0,0.328018904,-0.273618191,0.103006631,5,6,4,4,4,5,4,4,5,3,3,3,3,2016,2016,True,2,AZCAPOTZALCO
2,1,9,9001688041,1,133,24120,1307,1,2,9,-0.448275805,-0.910926342,0.0,0.0,0.0,-0.166666627,1.03125,0.0,0.0,0.328018904,-0.239201516,0.11587847,5,6,4,4,4,5,4,4,5,3,3,3,3,2016,2016,True,2,AZCAPOTZALCO
3,1,19,9001688041,1,133,24120,1307,1,2,9,-0.448275805,-0.910926342,0.0,0.0,0.0,-0.090909123,1.03125,1.0,1.0,0.328018904,0.061677255,0.22840713,5,6,4,4,4,4,1,1,3,3,3,3,3,2016,2016,True,2,AZCAPOTZALCO
1,1,48,9001688051,1,133,24120,1307,1,2,9,-1.0,-0.078858972,0.0,0.0,0.0,-0.4375,1.570833325,0.0,0.0,0.665040672,-0.435823828,0.253317356,6,4,4,4,4,5,4,4,5,4,1,1,3,2016,2016,True,2,AZCAPOTZALCO
1,1,75,9001688061,1,133,24120,1307,1,2,9,-0.076923132,0.019929111,0.0,0.0,0.0,-0.578947425,1.5625,0.0,0.0,-0.585523605,-0.16070649,-0.426642001,4,3,4,4,4,6,4,4,5,6,1,6,5,2016,2016,True,2,AZCAPOTZALCO
1,1,60,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,0.25,0.794947326,0.0,0.0,0.354142368,0.217875257,0.303178459,1,6,4,6,3,3,4,4,3,2,5,2,3,2016,2016,True,2,AZCAPOTZALCO
2,2,56,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,-0.375,0.794947326,0.0,0.0,0.354142368,0.070375256,0.248013467,1,6,4,6,3,5,4,4,3,2,5,2,3,2016,2016,True,2,AZCAPOTZALCO
3,2,34,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,0.0,0.794947326,0.0,0.0,0.354142368,0.158875257,0.281112462,1,6,4,6,3,4,4,4,3,2,5,2,3,2016,2016,True,2,AZCAPOTZALCO
4,2,33,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,-0.200000048,0.794947326,1.0,1.0,0.354142368,0.394675255,0.369301677,1,6,4,6,3,5,1,1,2,2,5,2,2,2016,2016,True,2,AZCAPOTZALCO
5,1,31,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,-0.200000048,0.794947326,1.0,1.0,0.354142368,0.394675255,0.369301677,1,6,4,6,3,5,1,1,2,2,5,2,2,2016,2016,True,2,AZCAPOTZALCO
6,2,29,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,-0.454545498,0.794947326,1.0,1.0,0.354142368,0.334602505,0.346834451,1,6,4,6,3,5,1,1,2,2,5,2,2,2016,2016,True,2,AZCAPOTZALCO
7,2,13,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,-0.100000024,0.794947326,0.0,0.0,0.354142368,0.135275245,0.272286057,1,6,4,6,3,5,4,4,3,2,5,2,3,2016,2016,True,2,AZCAPOTZALCO
8,2,11,9001849021,1,133,24130,1238,1,2,9,0.664855063,-0.858572483,0.0,-0.5,0.199999988,-0.125,0.794947326,0.0,0.0,0.354142368,0.129375249,0.270079464,1,6,4,6,3,5,4,4,3,2,5,2,3,2016,2016,True,2,AZCAPOTZALCO
1,1,36,9001849031,1,133,24130,1238,1,2,9,-0.040540457,-0.10400641,0.0,-0.5,0.0,0.0,0.931372523,0.49000001,1.0,0.510151744,0.176505357,0.38536799,4,5,4,6,4,4,1,2,3,1,4,1,2,2016,2016,True,2,AZCAPOTZALCO
2,2,37,9001849031,1,133,24130,1238,1,2,9,-0.040540457,-0.10400641,0.0,-0.5,0.0,0.0,0.931372523,0.49000001,1.0,0.510151744,0.176505357,0.38536799,4,5,4,6,4,4,1,2,3,1,4,1,2,2016,2016,True,2,AZCAPOTZALCO
3,2,13,9001849031,1,133,24130,1238,1,2,9,-0.040540457,-0.10400641,0.0,-0.5,0.0,-0.100000024,0.931372523,0.49000001,1.0,0.510151744,0.15290536,0.376541585,4,5,4,6,4,5,1,2,3,1,4,1,2,2016,2016,True,2,AZCAPOTZALCO
4,2,11,9001849031,1,133,24130,1238,1,2,9,-0.040540457,-0.10400641,0.0,-0.5,0.0,-0.125,0.931372523,0.49000001,1.0,0.510151744,0.147005364,0.374334991,4,5,4,6,4,5,1,2,3,1,4,1,2,2016,2016,True,2,AZCAPOTZALCO
1,1,61,9001849051,1,133,24130,1238,1,2,9,-0.620689631,-0.122448564,0.0,1.0,0.0,-0.276315808,0.868055582,-1.0,1.0,-0.150454879,-0.245898753,-0.186150894,6,5,4,1,4,5,1,6,5,5,5,5,5,2016,2016,True,2,AZCAPOTZALCO
2,1,59,9001849051,1,133,24130,1238,1,2,9,-0.620689631,-0.122448564,0.0,1.0,0.0,0.25,0.868055582,0.0,0.0,-0.150454879,-0.121688217,-0.139696151,6,5,4,1,4,3,4,4,5,5,5,5,5,2016,2016,True,2,AZCAPOTZALCO
3,1,54,9001849051,1,133,24130,1238,1,2,9,-0.620689631,-0.122448564,0.0,1.0,0.0,-0.25,0.868055582,-1.0,1.0,-0.150454879,-0.239688218,-0.183828145,6,5,4,1,4,5,1,6,5,5,5,5,5,2016,2016,True,2,AZCAPOTZALCO
1,1,31,9001849061,1,133,24130,1238,1,2,9,-0.189655066,-0.029371738,0.0,0.0,0.0,0.0,1.110416651,0.0,0.0,0.673691511,-0.063910425,0.3978284,5,4,4,4,4,4,4,4,4,1,3,1,2,2016,2016,True,2,AZCAPOTZALCO
2,2,28,9001849061,1,133,24130,1238,1,2,9,-0.189655066,-0.029371738,0.0,0.0,0.0,-0.181818128,1.110416651,0.49000001,0.0,0.673691511,-0.037484501,0.407711685,5,4,4,4,4,5,4,2,4,1,3,1,2,2016,2016,True,2,AZCAPOTZALCO
3,1,0,9001849061,1,133,24130,1238,1,2,9,-0.189655066,-0.029371738,0.0,0.0,0.0,0.0,1.110416651,0.0,0.0,0.673691511,-0.063910425,0.3978284,5,4,4,4,4,4,4,4,4,1,3,1,2,2016,2016,True,2,AZCAPOTZALCO
1,2,39,9002067011,1,134,24140,1758,1,2,9,0.599137962,0.055760086,1.0,0.0,0.0,0.066666663,0.822916687,0.49000001,1.0,0.52257663,0.463319659,0.50041455,1,3,1,4,4,3,1,2,2,1,5,1,1,2016,2016,True,2,AZCAPOTZALCO
2,1,18,9002067011,1,134,24140,1758,1,2,9,0.599137962,0.055760086,1.0,0.0,0.0,-0.097402573,0.822916687,1.0,1.0,0.52257663,0.496764332,0.512922823,1,3,1,4,4,4,1,1,2,1,5,1,1,2016,2016,True,2,AZCAPOTZALCO
3,2,10,9002067011,1,134,24140,1758,1,2,9,0.599137962,0.055760086,1.0,0.0,0.0,-0.142857194,0.822916687,0.49000001,1.0,0.52257663,0.413872033,0.481921107,1,3,1,4,4,5,1,2,2,1,5,1,2,2016,2016,True,2,AZCAPOTZALCO
1,2,60,9002067051,1,134,24140,1758,1,2,9,-0.809523821,0.02368319,0.25,-0.5,0.0,-0.276315808,0.100000001,0.0,0.0,-0.395569801,-0.335110724,-0.372958094,6,3,3,6,4,5,4,4,5,5,6,5,5,2016,2016,True,2,AZCAPOTZALCO
2,2,48,9002067051,1,134,24140,1758,1,2,9,-0.809523821,0.02368319,0.25,-0.5,0.0,-0.4375,0.100000001,-1.0,1.0,-0.395569801,-0.3731502,-0.387184858,6,3,3,6,4,5,1,6,5,5,6,5,5,2016,2016,True,2,AZCAPOTZALCO
1,1,47,9002067061,1,134,24140,1758,1,2,9,0.555327892,-0.763300419,0.0,0.0,0.0,-0.1875,1.03791678,0.0,0.0,0.436172485,0.093626127,0.308060139,1,6,4,4,4,5,4,4,3,2,3,2,3,2016,2016,True,2,AZCAPOTZALCO
2,2,42,9002067061,1,134,24140,1758,1,2,9,0.555327892,-0.763300419,0.0,0.0,0.0,0.0,1.03791678,0.0,0.0,0.436172485,0.137876123,0.324609637,1,6,4,4,4,4,4,4,3,2,3,2,3,2016,2016,True,2,AZCAPOTZALCO
3,1,22,9002067061,1,134,24140,1758,1,2,9,0.555327892,-0.763300419,0.0,0.0,0.0,0.066666663,1.03791678,1.0,1.0,0.436172485,0.436609447,0.436335921,1,6,4,4,4,3,1,1,2,2,3,2,2,2016,2016,True,2,AZCAPOTZALCO
4,2,15,9002067061,1,134,24140,1758,1,2,9,0.555327892,-0.763300419,0.0,0.0,0.0,-0.083333373,1.03791678,0.0,0.0,0.436172485,0.118209451,0.317254305,1,6,4,4,4,4,4,4,3,2,3,2,3,2016,2016,True,2,AZCAPOTZALCO
5,2,17,9002067061,1,134,24140,1758,1,2,9,0.555327892,-0.763300419,0.0,0.0,0.0,0.0,1.03791678,1.0,0.0,0.436172485,0.279376119,0.377530634,1,6,4,4,4,4,4,1,3,2,3,2,2,2016,2016,True,2,AZCAPOTZALCO
6,2,19,9002067061,1,134,24140,1758,1,2,9,0.555327892,-0.763300419,0.0,0.0,0.0,0.133333325,1.03791678,0.49000001,1.0,0.436172485,0.380177796,0.415230483,1,6,4,4,4,3,1,2,2,2,3,2,2,2016,2016,True,2,AZCAPOTZALCO
7,1,3,9002067061,1,134,24140,1758,1,2,9,0.555327892,-0.763300419,0.0,0.0,0.0,0.0,1.03791678,0.49000001,1.0,0.436172485,0.348711133,0.403461933,1,6,4,4,4,4,1,2,2,2,3,2,2,2016,2016,True,2,AZCAPOTZALCO
1,1,53,9002253011,1,134,24150,1824,1,2,9,-1.0,-0.050005078,0.0,-0.5,0.0,-0.125,1.445833325,1.0,1.0,1.0,-0.092400298,0.591442287,6,4,4,6,4,5,1,1,4,1,2,1,1,2016,2016,True,2,AZCAPOTZALCO
1,2,76,9002253021,1,134,24150,1824,1,2,9,-0.087499976,-0.866220117,0.0,-0.5,0.0,1.0,1.169642925,0.0,0.0,-1.0,0.142059237,-0.572869837,4,6,4,6,4,1,4,4,3,6,3,6,6,2016,2016,True,2,AZCAPOTZALCO
2,1,42,9002253021,1,134,24150,1824,1,2,9,-0.087499976,-0.866220117,0.0,-0.5,0.0,-0.4375,1.169642925,-1.0,0.0,-1.0,-0.338690758,-0.752670348,4,6,4,6,4,5,4,6,5,6,3,6,6,2016,2016,True,2,AZCAPOTZALCO
3,2,40,9002253021,1,134,24150,1824,1,2,9,-0.087499976,-0.866220117,0.0,-0.5,0.0,-0.4375,1.169642925,-1.0,0.0,-1.0,-0.338690758,-0.752670348,4,6,4,6,4,5,4,6,5,6,3,6,6,2016,2016,True,2,AZCAPOTZALCO
4,2,10,9002253021,1,134,24150,1824,1,2,9,-0.087499976,-0.866220117,0.0,-0.5,0.0,0.0,1.169642925,-1.0,0.0,-1.0,-0.235440761,-0.714054823,4,6,4,6,4,4,4,6,5,6,3,6,6,2016,2016,True,2,AZCAPOTZALCO
1,1,62,9002253031,1,134,24150,1824,1,2,9,-0.850000024,-0.983111262,0.0,0.0,0.0,0.0,0.100000001,-0.01111114,0.0,0.073012769,-0.337392688,-0.080478869,6,6,4,4,4,4,4,4,5,3,6,3,4,2016,2016,True,2,AZCAPOTZALCO
1,1,69,9002253051,1,134,24150,1824,1,2,9,-0.175675631,-0.034009337,0.0,-0.5,0.0,0.333333313,0.518287659,0.0,0.0,-0.194574356,0.004072513,-0.12028043,5,4,4,6,4,3,4,4,3,4,5,5,5,2016,2016,True,2,AZCAPOTZALCO
2,2,68,9002253051,1,134,24150,1824,1,2,9,-0.175675631,-0.034009337,0.0,-0.5,0.0,0.333333313,0.518287659,0.0,0.0,-0.194574356,0.004072513,-0.12028043,5,4,4,6,4,3,4,4,3,4,5,5,5,2016,2016,True,2,AZCAPOTZALCO
3,2,46,9002253051,1,134,24150,1824,1,2,9,-0.175675631,-0.034009337,0.0,-0.5,0.0,-0.1875,0.518287659,-0.047042251,1.0,-0.194574356,0.015999373,-0.115819782,5,4,4,6,4,5,1,4,3,4,5,5,5,2016,2016,True,2,AZCAPOTZALCO
4,2,18,9002253051,1,134,24150,1824,1,2,9,-0.175675631,-0.034009337,0.0,-0.5,0.0,-0.194805264,0.518287659,-0.047042251,1.0,-0.194574356,0.014275331,-0.11646457,5,4,4,6,4,5,1,4,3,4,5,5,5,2016,2016,True,2,AZCAPOTZALCO
1,1,41,9002356011,1,134,24160,1983,1,2,9,0.137931049,-0.07192409,0.0,0.0,0.0,-0.1875,1.447916627,0.0,0.0,0.47882998,-0.003180213,0.298558176,3,4,4,4,4,5,4,4,4,3,2,2,3,2016,2016,True,2,AZCAPOTZALCO
2,2,39,9002356011,1,134,24160,1983,1,2,9,0.137931049,-0.07192409,0.0,0.0,0.0,-0.050000072,1.447916627,0.0,0.0,0.47882998,0.02926977,0.310694456,3,4,4,4,4,4,4,4,3,3,2,2,3,2016,2016,True,2,AZCAPOTZALCO
