municipio,frecuencia
1,47622
2,38397
4,34456
5,33357
6,29752
7,28980
3,27567
17,24478
8,21763
10,20200
9,19426
14,18796
30,18699
12,16480
11,16156
37,16145
20,15463
35,14223
18,13817
33,12909
39,12371
13,11147
19,11003
28,10723
50,10611
21,9869
16,9507
15,8997
27,8428
31,8417
32,7835
114,7694
38,7367
25,7191
41,7187
29,7128
26,6498
48,6209
22,6022
53,6010
101,4955
46,4840
55,4611
43,4595
24,4523
42,4334
52,4261
51,4113
36,4087
102,3961
23,3924
34,3718
67,3701
120,3388
40,3283
56,3243
106,3144
44,2861
49,2838
108,2772
57,2719
58,2634
69,2629
76,2611
79,2585
89,2575
98,2482
59,2470
47,2451
85,2434
62,2401
73,2373
54,2356
87,2329
97,2311
45,2273
61,2232
63,2052
104,1916
77,1663
66,1621
112,1571
64,1552
96,1550
65,1476
124,1469
71,1437
121,1409
111,1393
82,1375
105,1364
74,1341
83,1324
184,1266
107,1263
193,1259
115,1212
81,1201
75,1148
113,1104
78,1103
99,1088
70,1062
60,1042
90,1033
93,1011
109,997
118,962
91,951
156,932
68,893
324,855
72,804
141,800
385,798
80,740
154,730
110,706
100,694
132,671
197,670
201,668
86,667
88,636
144,611
175,610
84,565
92,563
189,502
140,486
160,486
131,482
334,471
123,471
173,465
205,455
439,453
122,433
143,423
177,409
153,397
278,393
174,381
94,366
128,362
559,362
406,359
551,356
103,339
309,339
482,331
119,319
515,318
199,310
117,307
206,296
413,294
179,291
188,288
150,283
277,282
207,276
149,273
134,267
466,267
202,264
469,256
163,253
570,249
565,246
125,244
318,236
397,231
180,226
418,226
198,224
164,214
130,211
171,210
454,209
148,209
136,209
191,207
170,204
142,202
527,201
194,201
390,201
129,199
526,189
447,189
364,182
183,181
213,181
187,177
167,176
208,172
295,170
525,169
95,169
168,166
285,160
315,156
474,155
151,155
181,152
127,152
176,152
330,152
138,151
169,151
186,147
212,146
398,146
348,144
116,143
133,141
349,136
145,134
375,126
157,125
485,125
399,114
491,111
152,111
467,107
517,101
247,100
155,98
300,96
549,95
135,94
182,94
225,91
126,91
302,91
424,90
298,90
313,89
344,88
534,86
441,86
431,85
401,83
261,82
307,81
190,81
483,80
414,80
253,80
310,79
209,79
200,76
546,75
346,75
211,75
437,72
553,72
394,71
421,70
185,68
504,68
472,67
539,66
271,65
359,64
266,63
178,63
368,62
372,62
460,61
350,61
234,60
293,58
204,58
139,56
220,51
519,43
365,41
227,31
403,16
