anio,alcaldia_norm,total_carpetas,robos_territoriales,fraude,delitos_unicos,categorias_unicas,pct_latitud_nula,pct_longitud_nula,ROBO_A_CASA_HABITACION,ROBO_A_NEGOCIO,ROBO_A_PASAJERO,ROBO_A_REPARTIDOR,ROBO_A_TRANSEUNTE,ROBO_DE_ACCESORIOS_AUTO,ROBO_DE_VEHICULO,ROBO_A_TRANSPORTISTA,mmip_wmean,rei_wmean,nbi_wmean,CBDj_wmean,CSj_wmean,CENJ_wmean,ett_wmean,CASi_wmean,CASSi_wmean,cyt_wmean,ccevj_wmean,share_robos_territoriales,share_fraude,nivel_objetivo,pred_nivel
2021.0,ALVARO OBREGON,16059,4306.0,1278.0,411,0,14.8247,14.8247,251.0,1033.0,231.0,211.0,1037.0,383.0,1159.0,1.0,0.02752728648345389,-0.07493167201753652,-0.012946125960605867,-0.439424834440664,0.0750514740624536,0.0005168867561957826,0.9303849964753335,0.10711232437063838,0.35256340517340706,0.05170788789042938,-0.08456280659888323,0.26813624758702287,0.07958154305996637,alto,alto
2021.0,AZCAPOTZALCO,11593,3692.0,848.0,397,0,15.3569,15.3569,168.0,944.0,124.0,123.0,1153.0,385.0,794.0,1.0,-0.009223592056627946,-0.09418384225347358,-0.036331763581026064,-0.45757026000523715,0.07697493411704208,0.0016778178550662765,0.9530649346165708,0.10519888137815597,0.30063648876325844,0.006972024155936853,-0.11578393665862534,0.3184680410592599,0.07314758906236522,alto,medio
2021.0,BENITO JUAREZ,16180,5508.0,2339.0,438,0,9.045,9.045,161.0,1510.0,182.0,41.0,1063.0,1302.0,1249.0,0.0,-0.23803328180389363,-0.22788054756171897,-0.18031724403937935,-0.6437846985817983,0.024609227594864298,0.0,0.9500040425239208,-0.0876039670263633,0.24170131326628128,-0.27251538748857257,-0.3012186692303071,0.3404202719406675,0.1445611866501854,alto,alto
2021.0,COYOACAN,15658,4663.0,1325.0,407,0,6.6138,6.6138,290.0,1190.0,233.0,66.0,842.0,676.0,1366.0,0.0,-0.003261919705925925,-0.11510040013056205,-0.016531650121361704,-0.4291193055675469,0.11451563573098132,0.0,0.8445276526618507,0.11040605998690567,0.37057974519708387,0.004666001913822907,-0.0797719031974254,0.29780303997956314,0.08462127985694214,alto,alto
2021.0,CUAJIMALPA DE MORELOS,3931,768.0,463.0,272,0,18.0855,18.0855,58.0,282.0,33.0,10.0,102.0,63.0,220.0,0.0,0.09693115055382397,-0.026215449209299763,0.06327935984849019,-0.3627996058260626,0.21703393826362485,0.0030972763248065197,1.0252480829198074,0.14495815224436734,0.30582137057523145,0.11703621446433123,0.0816091186601298,0.19537013482574409,0.11778173492749937,bajo,bajo
2021.0,CUAUHTEMOC,33430,8371.0,3878.0,560,0,52.086,52.086,360.0,1793.0,668.0,135.0,1655.0,1850.0,1909.0,1.0,-0.005569574171274645,-0.12102466607485256,-0.04082333715654069,-0.32807871614594863,0.03657496399275063,0.00010243517662572062,1.0141777897238191,0.12235525444644957,0.36276634791894563,0.015492578162799637,-0.16122029424129877,0.250403828896201,0.11600358959018846,alto,alto
2021.0,GUSTAVO A MADERO,23781,6323.0,1457.0,495,0,18.7902,18.7902,392.0,1625.0,358.0,204.0,1484.0,730.0,1527.0,3.0,0.09036234841188213,-0.062388921540187825,0.020531425320406343,-0.38657641541323845,0.08172417555705079,0.0013227542483343025,0.9864080887005495,0.15502973318121996,0.3847282931798192,0.13208242002053186,-0.038702756616351926,0.2658845296665405,0.06126739834321517,alto,alto
2021.0,IZTACALCO,9597,2451.0,602.0,349,0,15.9885,15.9885,143.0,324.0,213.0,104.0,651.0,341.0,674.0,1.0,0.11042522661280128,-0.0663316824828702,0.049691707455732044,-0.37493149154201927,0.09567115998414144,0.0023314498714601443,0.976737598864789,0.1971242359892277,0.4395374300119208,0.14671010880674148,0.010585847105796778,0.2553923100969053,0.06272793581327499,medio,medio
2021.0,IZTAPALAPA,33475,9345.0,1686.0,553,0,16.8611,16.8611,646.0,1837.0,722.0,534.0,2576.0,678.0,2350.0,2.0,0.1920898216176212,-0.00320926426400864,0.11791867156517592,-0.30407153418492633,0.2319315413502343,0.0009494702353333627,0.9875905224448424,0.24536366112826088,0.49370395058886946,0.23640293700972803,0.09479356086613194,0.27916355489171024,0.05036594473487677,alto,alto
2021.0,LA MAGDALENA CONTRERAS,4493,765.0,250.0,277,0,2.3416,2.3416,125.0,95.0,41.0,32.0,131.0,97.0,244.0,0.0,0.10308081236756317,-0.030908088668650417,0.057937841164773685,-0.4067555527445253,0.1946835929930216,2.3218444606856303e-05,0.9450257758682921,0.11195172331033369,0.38223089087121265,0.13005121396410338,0.06329708907960724,0.17026485644335634,0.055642109948809255,bajo,bajo
