variable,target,corr
total_carpetas,fraude,0.8117803563627698
ROBO_A_NEGOCIO,fraude,0.7884510287878921
ROBO_DE_ACCESORIOS_AUTO,fraude,0.7796270769079211
robos_territoriales,fraude,0.7422611779971419
delitos_unicos,fraude,0.7245324777100701
ROBO_A_PASAJERO,fraude,0.7113039539051818
share_fraude,fraude,0.6980627347868695
ROBO_A_TRANSEUNTE,fraude,0.6744343191964479
pct_latitud_nula,fraude,0.6398560894199024
pct_longitud_nula,fraude,0.6398560894199024
ccevj_wmean,fraude,-0.6058139483021241
rei_wmean,fraude,-0.5780668835853695
ROBO_DE_VEHICULO,fraude,0.5667805675049707
E_nbi_wmode,fraude,0.5624633463959426
nbi_wmean,fraude,-0.5488385442357722
ROBO_A_CASA_HABITACION,fraude,0.5439061345415933
CSj_wmean,fraude,-0.52186923084998
mmip_wmean,fraude,-0.5127915070281454
cyt_wmean,fraude,-0.4852026257677066
E_mmip_wmode,fraude,0.42988438790204514
CASi_wmean,fraude,-0.38464987728255534
share_robos_territoriales,fraude,0.3697430647502572
CASSi_wmean,fraude,-0.34037226191953734
CENJ_wmean,fraude,-0.2958185423037813
factor_sum,fraude,0.2772007470916494
E_rei_wmode,fraude,0.2637990777529501
ROBO_A_REPARTIDOR,fraude,0.2533612510569011
CBDj_wmean,fraude,-0.24492470353084286
