variable,target,corr
ROBO_DE_ACCESORIOS_AUTO,fraude,0.9286608348807326
robos_territoriales,fraude,0.9158593997955521
ROBO_A_NEGOCIO,fraude,0.8905568217504626
total_carpetas,fraude,0.8880881566485687
ROBO_DE_VEHICULO,fraude,0.8591462392863395
ROBO_A_PASAJERO,fraude,0.8466787151426766
ROBO_A_TRANSEUNTE,fraude,0.8042913378397825
delitos_unicos,fraude,0.6908811519285692
ROBO_A_CASA_HABITACION,fraude,0.6542922217647551
share_fraude,fraude,0.6418977720607713
ccevj_wmean,fraude,-0.5151310046371342
rei_wmean,fraude,-0.4853096105539148
nbi_wmean,fraude,-0.4599917242386224
mmip_wmean,fraude,-0.4388002372714695
CSj_wmean,fraude,-0.4302726128905638
cyt_wmean,fraude,-0.4278521944089137
CENJ_wmean,fraude,-0.4252014573820168
ROBO_A_REPARTIDOR,fraude,0.3971791473030161
share_robos_territoriales,fraude,0.3704052402566721
CASi_wmean,fraude,-0.36144040037137637
anio,fraude,-0.3243185380610204
CASSi_wmean,fraude,-0.2956086884090116
CBDj_wmean,fraude,-0.24379861134725977
ROBO_A_TRANSPORTISTA,fraude,0.19381388036669828
pct_longitud_nula,fraude,-0.17518410251352237
pct_latitud_nula,fraude,-0.17518410251352237
