alcaldia_key,alcaldia_nombre,alcaldia_id,anio,tiempo_id,total_delitos_fgj,total_robos_patrimoniales,total_no_robos_patrimoniales,share_robos_patrimoniales_sobre_total_delitos
ALVARO OBREGON,Alvaro Obregon,2,2016,201600,12378,3837,8541,0.3099854580707707
AZCAPOTZALCO,Azcapotzalco,1,2016,201600,10093,3736,6357,0.37015753492519565
BENITO JUAREZ,Benito Juarez,3,2016,201600,16550,5945,10605,0.359214501510574
COYOACAN,Coyoacan,4,2016,201600,13631,4604,9027,0.3377595187440393
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,201600,2825,623,2202,0.22053097345132744
CUAUHTEMOC,Cuauhtemoc,6,2016,201600,31975,8827,23148,0.27605942142298673
GUSTAVO A MADERO,Gustavo A Madero,7,2016,201600,19019,6672,12347,0.35080708764919294
IZTACALCO,Iztacalco,8,2016,201600,8089,2426,5663,0.29991346272716035
IZTAPALAPA,Iztapalapa,9,2016,201600,29337,9816,19521,0.3345945393189488
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,201600,3080,685,2395,0.2224025974025974
MIGUEL HIDALGO,Miguel Hidalgo,11,2016,201600,12631,3422,9209,0.2709207505343995
MILPA ALTA,Milpa Alta,12,2016,201600,1134,224,910,0.19753086419753085
TLAHUAC,Tlahuac,13,2016,201600,4180,1074,3106,0.2569377990430622
TLALPAN,Tlalpan,14,2016,201600,11638,3516,8122,0.3021137652517615
VENUSTIANO CARRANZA,Venustiano Carranza,15,2016,201600,10880,3181,7699,0.29237132352941175
XOCHIMILCO,Xochimilco,16,2016,201600,6216,1958,4258,0.314993564993565
ALVARO OBREGON,Alvaro Obregon,2,2017,201700,14408,5127,9281,0.3558439755691283
AZCAPOTZALCO,Azcapotzalco,1,2017,201700,11342,4904,6438,0.432375242461647
BENITO JUAREZ,Benito Juarez,3,2017,201700,20271,8787,11484,0.4334763948497854
COYOACAN,Coyoacan,4,2017,201700,15336,5428,9908,0.3539384454877413
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2017,201700,3095,701,2394,0.22649434571890145
CUAUHTEMOC,Cuauhtemoc,6,2017,201700,37172,12737,24435,0.342650382007963
GUSTAVO A MADERO,Gustavo A Madero,7,2017,201700,22794,8195,14599,0.35952443625515484
IZTACALCO,Iztacalco,8,2017,201700,9720,3678,6042,0.37839506172839504
IZTAPALAPA,Iztapalapa,9,2017,201700,33497,11687,21810,0.34889691614174406
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2017,201700,3238,756,2482,0.23347745521927116
MIGUEL HIDALGO,Miguel Hidalgo,11,2017,201700,15753,6130,9623,0.38913222878181936
MILPA ALTA,Milpa Alta,12,2017,201700,1446,260,1186,0.1798063623789765
TLAHUAC,Tlahuac,13,2017,201700,5195,1388,3807,0.26717998075072186
TLALPAN,Tlalpan,14,2017,201700,12724,3766,8958,0.2959761081420937
VENUSTIANO CARRANZA,Venustiano Carranza,15,2017,201700,12813,3931,8882,0.3067977835011317
XOCHIMILCO,Xochimilco,16,2017,201700,6915,2281,4634,0.32986261749819235
ALVARO OBREGON,Alvaro Obregon,2,2018,201800,16792,6753,10039,0.4021557884707003
AZCAPOTZALCO,Azcapotzalco,1,2018,201800,12246,5544,6702,0.45271925526702594
BENITO JUAREZ,Benito Juarez,3,2018,201800,22743,10770,11973,0.47355230180714947
COYOACAN,Coyoacan,4,2018,201800,17059,6531,10528,0.3828477636438244
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2018,201800,3544,917,2627,0.2587471783295711
CUAUHTEMOC,Cuauhtemoc,6,2018,201800,41285,16666,24619,0.4036817245973114
GUSTAVO A MADERO,Gustavo A Madero,7,2018,201800,25471,9984,15487,0.391975187468101
IZTACALCO,Iztacalco,8,2018,201800,11068,4851,6217,0.4382905674015179
IZTAPALAPA,Iztapalapa,9,2018,201800,37671,15275,22396,0.40548432481218977
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2018,201800,3642,887,2755,0.24354750137287204
