alcaldia_key,alcaldia_nombre,alcaldia_id,anio,mes,tiempo_id,subtipo_robo_patrimonial,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
BENITO JUAREZ,Benito Juarez,3,2000,1,200001,OTRO,1,1,19.40052,-99.15409
COYOACAN,Coyoacan,4,2000,1,200001,OTRO,1,1,19.34057,-99.1463
CUAUHTEMOC,Cuauhtemoc,6,2000,1,200001,OTRO,14,10,19.42893702221486,-99.15191205744578
GUSTAVO A MADERO,Gustavo A Madero,7,2000,1,200001,OTRO,1,1,19.57027,-99.13744
IZTACALCO,Iztacalco,8,2000,1,200001,OTRO,2,1,19.38337,-99.1041
IZTAPALAPA,Iztapalapa,9,2000,1,200001,OTRO,6,5,19.34312629119232,-99.03781276003748
MILPA ALTA,Milpa Alta,12,2000,1,200001,OTRO,1,1,19.19342,-99.09022
TLALPAN,Tlalpan,14,2000,1,200001,OTRO,3,3,19.2740810173504,-99.17660861579816
VENUSTIANO CARRANZA,Venustiano Carranza,15,2000,1,200001,OTRO,1,1,19.41595,-99.07634
XOCHIMILCO,Xochimilco,16,2000,1,200001,OTRO,1,1,19.2507680352,-99.0152233999
ALVARO OBREGON,Alvaro Obregon,2,2000,2,200002,ROBO_A_TRANSEUNTE,1,1,19.3708,-99.20384
CUAUHTEMOC,Cuauhtemoc,6,2000,2,200002,OTRO,5,3,19.434561906939066,-99.14515286239548
GUSTAVO A MADERO,Gustavo A Madero,7,2000,2,200002,OTRO,2,2,19.4792514701229,-99.0964278503299
IZTAPALAPA,Iztapalapa,9,2000,2,200002,OTRO,4,3,19.327312396092665,-99.05768126667027
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2000,2,200002,OTRO,1,1,19.3041977479058,-99.2526899117672
XOCHIMILCO,Xochimilco,16,2000,2,200002,OTRO,1,1,19.2472269721828,-99.1277222302703
COYOACAN,Coyoacan,4,2000,3,200003,OTRO,1,1,19.33702,-99.11775
CUAUHTEMOC,Cuauhtemoc,6,2000,3,200003,OTRO,5,4,19.427774966037724,-99.1500551544345
GUSTAVO A MADERO,Gustavo A Madero,7,2000,3,200003,OTRO,2,2,19.47253,-99.07333
IZTAPALAPA,Iztapalapa,9,2000,3,200003,OTRO,2,0,\N,\N
MIGUEL HIDALGO,Miguel Hidalgo,11,2000,3,200003,OTRO,1,1,19.450838512924,-99.1726800799836
TLALPAN,Tlalpan,14,2000,3,200003,OTRO,2,2,19.2774896692533,-99.20725117324474
ALVARO OBREGON,Alvaro Obregon,2,2000,4,200004,OTRO,1,1,19.3277235492574,-99.268545081248
BENITO JUAREZ,Benito Juarez,3,2000,4,200004,OTRO,1,1,19.3697393698338,-99.1475846599999
CUAUHTEMOC,Cuauhtemoc,6,2000,4,200004,OTRO,1,1,19.4259834937307,-99.1422528796434
CUAUHTEMOC,Cuauhtemoc,6,2000,4,200004,ROBO_A_NEGOCIO,1,1,19.4436910318424,-99.1540977399265
GUSTAVO A MADERO,Gustavo A Madero,7,2000,4,200004,OTRO,2,2,19.48084190985,-99.12595710675001
IZTAPALAPA,Iztapalapa,9,2000,4,200004,OTRO,2,2,19.3573438879667,-99.05826451963006
MIGUEL HIDALGO,Miguel Hidalgo,11,2000,4,200004,OTRO,3,2,19.436177943041102,-99.18719886000125
TLALPAN,Tlalpan,14,2000,4,200004,OTRO,1,1,19.2005767799835,-99.1437324253866
ALVARO OBREGON,Alvaro Obregon,2,2000,5,200005,OTRO,2,2,19.3418400140363,-99.2240863649633
BENITO JUAREZ,Benito Juarez,3,2000,5,200005,OTRO,2,2,19.386454999999998,-99.15505999999999
BENITO JUAREZ,Benito Juarez,3,2000,5,200005,ROBO_A_NEGOCIO,1,1,19.37702,-99.16308
COYOACAN,Coyoacan,4,2000,5,200005,OTRO,1,1,19.3116,-99.15858
CUAUHTEMOC,Cuauhtemoc,6,2000,5,200005,OTRO,6,5,19.431019930853576,-99.14908886015492
GUSTAVO A MADERO,Gustavo A Madero,7,2000,5,200005,OTRO,1,1,19.47864,-99.09638
