cve_ent,alcaldia,cve_col,colonia,ba1_noeqsa,ba1_c_noeq,ba8_nomerc,ba8_noloca,ba8_ci_nom,ba8_ci_loc,ba8_s_merc,ba8_c_merc,ba9_no_gua,ba9_c_no_g,ba3_noeqed,ba3_diseqb,ba3_ci_eqe,ba3_ci_dis,ba3_s_eqed,ba3_c_eqed,p_porcelec,r_valelect,p_aguapot,r_val_dren,epr_pob,r_epr_pob,resid_ton,r_resd_ton,alump_sum,alump_mean,r_alump_su,r_alump_mn,s_ri_6,c_ri_6,id,alcaldia_key,alcaldia_nombre,alcaldia_id,colonia_key,colonia_nombre,infraestructura_actualizacion_anio,infraestructura_es_snapshot,infraestructura_temporalidad,infraestructura_uso_recomendado
9,AZCAPOTZALCO,02-001,AGUILERA,0,5,0,0,5,5,10,5,0,5,1,282.167,4,2,6,3,98.95288,4,98.95288,3,0.0,5,2.618,2,10.0,1.0,1,1,34,3,1,AZCAPOTZALCO,Azcapotzalco,1,AGUILERA,Aguilera,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-002,ALDANA,0,5,0,0,5,5,10,5,0,5,2,224.227,4,1,5,3,99.15344,3,98.83598,3,0.0,5,4.391,3,28.0,1.27272727273,2,1,35,3,2,AZCAPOTZALCO,Azcapotzalco,1,ALDANA,Aldana,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-005,ANGEL ZIMBRON,0,5,0,0,5,5,10,5,0,5,3,314.167,3,3,6,3,99.30394,3,99.18794,2,6e-05,4,3.558,3,12.0,1.0,1,1,31,2,3,AZCAPOTZALCO,Azcapotzalco,1,ANGEL ZIMBRON,Angel Zimbron,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-006,ARENAL,0,5,1,198,4,2,6,2,1,4,4,267.369,3,2,5,3,98.96755,4,99.0413,3,4e-05,4,6.262,4,37.0,1.0,2,1,33,2,4,AZCAPOTZALCO,Azcapotzalco,1,ARENAL,Arenal,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-007,CENTRO DE AZCAPOTZALCO,2,3,1,546,4,1,5,2,1,4,7,268.656,1,2,3,1,94.64883,5,94.53735,5,0.00057,2,3.956,3,47.0,1.46875,3,2,30,1,5,AZCAPOTZALCO,Azcapotzalco,1,CENTRO DE AZCAPOTZALCO,Centro De Azcapotzalco,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-008,CLAVERIA,0,5,1,98,4,4,8,4,0,5,7,353.242,1,3,4,2,99.19732,3,98.92977,3,0.00017,3,12.44,5,126.0,1.38461538462,5,2,34,3,6,AZCAPOTZALCO,Azcapotzalco,1,CLAVERIA,Claveria,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-009,COLTONGO,0,5,0,0,5,5,10,5,0,5,4,294.508,3,2,5,3,99.02439,3,93.85366,5,0.0,5,5.425,3,27.0,1.28571428571,2,1,36,4,7,AZCAPOTZALCO,Azcapotzalco,1,COLTONGO,Coltongo,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-011,COSMOPOLITA (AMPL),0,5,0,0,5,5,10,5,0,5,3,147.373,3,1,4,2,89.09774,5,89.09774,5,0.0,5,1.29,1,17.0,1.0,1,1,35,3,8,AZCAPOTZALCO,Azcapotzalco,1,COSMOPOLITA AMPL,Cosmopolita Ampl,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-013,CUITLÁHUAC 1 Y 2 (U HAB),0,5,0,0,5,5,10,5,0,5,3,336.356,3,3,6,3,97.94344,4,97.30077,4,0.0,5,3.184,2,92.0,2.04444444444,4,4,37,4,9,AZCAPOTZALCO,Azcapotzalco,1,CUITLAHUAC 1 Y 2 U HAB,Cuitlahuac 1 Y 2 U Hab,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-014,CUITLÁHUAC 3 Y 4 (U HAB),0,5,0,0,5,5,10,5,0,5,3,341.971,3,3,6,3,99.38942,3,99.11805,2,0.0,5,5.682,3,165.0,2.01219512195,5,3,36,4,10,AZCAPOTZALCO,Azcapotzalco,1,CUITLAHUAC 3 Y 4 U HAB,Cuitlahuac 3 Y 4 U Hab,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-015,DEL GAS,1,4,0,0,5,5,10,5,0,5,3,222.606,3,1,4,2,98.83805,4,97.16776,4,0.00073,1,6.314,4,76.0,1.52,4,2,34,3,11,AZCAPOTZALCO,Azcapotzalco,1,DEL GAS,Del Gas,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-016,DEL GAS (AMPL),0,5,0,0,5,5,10,5,0,5,2,201.333,4,1,5,3,98.11828,4,97.04301,4,0.00012,3,1.63,2,33.0,2.0625,2,4,34,3,12,AZCAPOTZALCO,Azcapotzalco,1,DEL GAS AMPL,Del Gas Ampl,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
9,AZCAPOTZALCO,02-017,DEL MAESTRO,2,3,0,0,5,5,10,5,1,4,1,214.667,4,1,5,3,99.0099,3,98.51485,3,0.0,5,0.9334,1,6.0,1.0,1,1,29,1,13,AZCAPOTZALCO,Azcapotzalco,1,DEL MAESTRO,Del Maestro,2022,True,static_snapshot_2022,variable estructural contextual; no interpretar como medicion anual
