alcaldia_key,alcaldia_nombre,alcaldia_id,anio,tiempo_id,target_robos_patrimoniales_total,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo,target_robos_log1p
ALVARO OBREGON,Alvaro Obregon,2,2016,201600,3837,1299,1055,358,570,222,333,8.252706676567644
AZCAPOTZALCO,Azcapotzalco,1,2016,201600,3736,960,1008,366,725,287,390,8.226038429485484
BENITO JUAREZ,Benito Juarez,3,2016,201600,5945,1558,1754,640,896,674,423,8.690474003558043
COYOACAN,Coyoacan,4,2016,201600,4604,1058,1332,473,933,342,466,8.434897948689407
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,201600,623,97,277,89,84,28,48,6.436150368369428
CUAUHTEMOC,Cuauhtemoc,6,2016,201600,8827,4127,2393,564,903,496,344,9.085683767376628
GUSTAVO A MADERO,Gustavo A Madero,7,2016,201600,6672,1943,1740,668,1718,351,252,8.805824812903607
IZTACALCO,Iztacalco,8,2016,201600,2426,919,386,276,506,181,158,7.794411205726601
IZTAPALAPA,Iztapalapa,9,2016,201600,9816,3466,2590,881,2146,342,391,9.191870855692521
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,201600,685,164,96,164,152,55,54,6.530877627725885
MIGUEL HIDALGO,Miguel Hidalgo,11,2016,201600,3422,985,945,350,618,171,353,8.138272638530186
MILPA ALTA,Milpa Alta,12,2016,201600,224,35,42,52,72,12,11,5.41610040220442
TLAHUAC,Tlahuac,13,2016,201600,1074,323,211,197,229,57,57,6.980075940561763
TLALPAN,Tlalpan,14,2016,201600,3516,647,1039,578,737,259,256,8.165363632473982
VENUSTIANO CARRANZA,Venustiano Carranza,15,2016,201600,3181,1190,723,331,525,245,167,8.065265208897733
XOCHIMILCO,Xochimilco,16,2016,201600,1958,608,333,307,495,75,140,7.580189417944541
ALVARO OBREGON,Alvaro Obregon,2,2017,201700,5127,1986,1097,373,624,326,721,8.542470998600505
AZCAPOTZALCO,Azcapotzalco,1,2017,201700,4904,1686,1113,300,770,401,634,8.498010371999463
BENITO JUAREZ,Benito Juarez,3,2017,201700,8787,2704,1883,724,714,1819,943,9.081142433504501
COYOACAN,Coyoacan,4,2017,201700,5428,1493,1246,558,868,552,711,8.599510233905452
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2017,201700,701,108,248,129,84,35,97,6.553933404025811
CUAUHTEMOC,Cuauhtemoc,6,2017,201700,12737,6854,2530,594,999,1081,679,9.45234493093131
GUSTAVO A MADERO,Gustavo A Madero,7,2017,201700,8195,2527,2042,702,1490,809,625,9.011401509358791
IZTACALCO,Iztacalco,8,2017,201700,3678,1669,514,303,492,305,395,8.210396255104774
IZTAPALAPA,Iztapalapa,9,2017,201700,11687,4461,2929,921,2246,428,702,9.366317953430535
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2017,201700,756,137,122,211,123,64,99,6.6293632534374485
MIGUEL HIDALGO,Miguel Hidalgo,11,2017,201700,6130,2478,1397,373,649,389,844,8.721113147762688
MILPA ALTA,Milpa Alta,12,2017,201700,260,57,33,78,76,6,10,5.564520407322694
TLAHUAC,Tlahuac,13,2017,201700,1388,508,285,180,290,52,73,7.236339342754344
TLALPAN,Tlalpan,14,2017,201700,3766,779,931,514,705,439,398,8.23403420769204
VENUSTIANO CARRANZA,Venustiano Carranza,15,2017,201700,3931,1499,1005,362,387,322,356,8.276903481267057
XOCHIMILCO,Xochimilco,16,2017,201700,2281,736,403,380,478,77,207,7.732807530422021
ALVARO OBREGON,Alvaro Obregon,2,2018,201800,6753,2864,1463,437,799,448,742,8.817890200945513
AZCAPOTZALCO,Azcapotzalco,1,2018,201800,5544,2081,1225,387,834,428,589,8.620651899784468
BENITO JUAREZ,Benito Juarez,3,2018,201800,10770,3116,2366,850,1330,2154,954,9.28461261635077
COYOACAN,Coyoacan,4,2018,201800,6531,1938,1433,639,980,687,854,8.784468454090355
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2018,201800,917,182,298,132,96,64,145,6.822197390620491
CUAUHTEMOC,Cuauhtemoc,6,2018,201800,16666,8931,3181,759,1242,1548,1005,9.721185995542177
GUSTAVO A MADERO,Gustavo A Madero,7,2018,201800,9984,3503,2132,791,1998,890,670,9.208839245849916
IZTACALCO,Iztacalco,8,2018,201800,4851,2558,568,324,611,329,461,8.48714627006394
IZTAPALAPA,Iztapalapa,9,2018,201800,15275,6796,3354,944,2633,665,883,9.634038248345407
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2018,201800,887,221,164,211,140,66,85,6.78897174299217
