alcaldia_key,alcaldia_nombre,alcaldia_id,anio,mes,tiempo_id,subtipo_robo_patrimonial,total_robos_patrimoniales,registros_con_coordenadas,latitud_promedio,longitud_promedio
ALVARO OBREGON,Alvaro Obregon,2,2016,1,201601,ROBO_A_CASA_HABITACION,28,28,19.36283921427979,-99.21606353571428
ALVARO OBREGON,Alvaro Obregon,2,2016,1,201601,ROBO_A_NEGOCIO,76,76,19.36459336841229,-99.21650861842105
ALVARO OBREGON,Alvaro Obregon,2,2016,1,201601,ROBO_A_TRANSEUNTE,79,79,19.371384708852336,-99.21196365822784
ALVARO OBREGON,Alvaro Obregon,2,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,19,18,19.36643283331488,-99.21060894444443
ALVARO OBREGON,Alvaro Obregon,2,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,14,14,19.356424285714287,-99.22630714285715
ALVARO OBREGON,Alvaro Obregon,2,2016,1,201601,ROBO_DE_VEHICULO,60,60,19.3619792166639,-99.20924895
AZCAPOTZALCO,Azcapotzalco,1,2016,1,201601,ROBO_A_CASA_HABITACION,21,21,19.47666090475395,-99.179566
AZCAPOTZALCO,Azcapotzalco,1,2016,1,201601,ROBO_A_NEGOCIO,75,75,19.48617398666222,-99.18575012
AZCAPOTZALCO,Azcapotzalco,1,2016,1,201601,ROBO_A_TRANSEUNTE,60,60,19.481275100369352,-99.18186345771635
AZCAPOTZALCO,Azcapotzalco,1,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,26,26,19.481131153846153,-99.17937192307691
AZCAPOTZALCO,Azcapotzalco,1,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,19,19,19.481073684184196,-99.17464768421053
AZCAPOTZALCO,Azcapotzalco,1,2016,1,201601,ROBO_DE_VEHICULO,77,77,19.482264675320344,-99.18091723376622
BENITO JUAREZ,Benito Juarez,3,2016,1,201601,ROBO_A_CASA_HABITACION,41,41,19.382572536581304,-99.16198814634146
BENITO JUAREZ,Benito Juarez,3,2016,1,201601,ROBO_A_NEGOCIO,123,123,19.379713617880764,-99.16174973983739
BENITO JUAREZ,Benito Juarez,3,2016,1,201601,ROBO_A_TRANSEUNTE,60,60,19.381900299994463,-99.16499036666666
BENITO JUAREZ,Benito Juarez,3,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,24,24,19.38287320832641,-99.156630875
BENITO JUAREZ,Benito Juarez,3,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,31,31,19.382337096774194,-99.15264774193548
BENITO JUAREZ,Benito Juarez,3,2016,1,201601,ROBO_DE_VEHICULO,72,72,19.379804626710232,-99.16030296192417
COYOACAN,Coyoacan,4,2016,1,201601,ROBO_A_CASA_HABITACION,35,35,19.328870857142856,-99.15289057142857
COYOACAN,Coyoacan,4,2016,1,201601,ROBO_A_NEGOCIO,122,122,19.324575081967215,-99.15769163934426
COYOACAN,Coyoacan,4,2016,1,201601,ROBO_A_TRANSEUNTE,60,59,19.328696474570638,-99.149239
COYOACAN,Coyoacan,4,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,38,38,19.327230368416686,-99.15685344736842
COYOACAN,Coyoacan,4,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,20,20,19.328220449991676,-99.14676175
COYOACAN,Coyoacan,4,2016,1,201601,ROBO_DE_VEHICULO,70,70,19.331723285714286,-99.148369
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,1,201601,ROBO_A_CASA_HABITACION,5,5,19.364428,-99.280056
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,1,201601,ROBO_A_NEGOCIO,24,24,19.36285520832642,-99.28271412499998
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,1,201601,ROBO_A_TRANSEUNTE,8,8,19.36096125,-99.2912525
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,3,3,19.361636666666666,-99.2776
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,3,3,19.371816666666668,-99.26850999999999
CUAJIMALPA DE MORELOS,Cuajimalpa De Morelos,5,2016,1,201601,ROBO_DE_VEHICULO,9,9,19.37518,-99.27465000000001
CUAUHTEMOC,Cuauhtemoc,6,2016,1,201601,ROBO_A_CASA_HABITACION,40,40,19.431763,-99.15260375
CUAUHTEMOC,Cuauhtemoc,6,2016,1,201601,ROBO_A_NEGOCIO,173,173,19.432108069359344,-99.14884699421965
CUAUHTEMOC,Cuauhtemoc,6,2016,1,201601,ROBO_A_TRANSEUNTE,281,281,19.430963829179124,-99.1470416227758
CUAUHTEMOC,Cuauhtemoc,6,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,32,32,19.4291778125,-99.1486184375
CUAUHTEMOC,Cuauhtemoc,6,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,33,33,19.422757272727274,-99.15234636363637
CUAUHTEMOC,Cuauhtemoc,6,2016,1,201601,ROBO_DE_VEHICULO,67,66,19.433575530438876,-99.15357322603093
GUSTAVO A MADERO,Gustavo A Madero,7,2016,1,201601,ROBO_A_CASA_HABITACION,54,54,19.490235555555554,-99.11627462962963
GUSTAVO A MADERO,Gustavo A Madero,7,2016,1,201601,ROBO_A_NEGOCIO,134,134,19.489326417910448,-99.1253339552239
GUSTAVO A MADERO,Gustavo A Madero,7,2016,1,201601,ROBO_A_TRANSEUNTE,181,180,19.493343644440742,-99.1148919
GUSTAVO A MADERO,Gustavo A Madero,7,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,17,17,19.4961547646961,-99.11278305882354
GUSTAVO A MADERO,Gustavo A Madero,7,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,33,33,19.48517212121212,-99.11823484848485
GUSTAVO A MADERO,Gustavo A Madero,7,2016,1,201601,ROBO_DE_VEHICULO,131,131,19.495477039749716,-99.11473704281404
IZTACALCO,Iztacalco,8,2016,1,201601,ROBO_A_CASA_HABITACION,14,14,19.393161428571428,-99.09054571428571
IZTACALCO,Iztacalco,8,2016,1,201601,ROBO_A_NEGOCIO,47,47,19.39276048935817,-99.09496329787234
IZTACALCO,Iztacalco,8,2016,1,201601,ROBO_A_TRANSEUNTE,76,76,19.396338028934355,-99.09126424605262
IZTACALCO,Iztacalco,8,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,12,12,19.4019275,-99.10194833333333
IZTACALCO,Iztacalco,8,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,11,11,19.394006363636365,-99.09228000000002
IZTACALCO,Iztacalco,8,2016,1,201601,ROBO_DE_VEHICULO,28,28,19.395792142857143,-99.09783607142857
IZTAPALAPA,Iztapalapa,9,2016,1,201601,ROBO_A_CASA_HABITACION,44,44,19.356248477268938,-99.05400238636365
IZTAPALAPA,Iztapalapa,9,2016,1,201601,ROBO_A_NEGOCIO,175,175,19.355656857142858,-99.06516005714286
IZTAPALAPA,Iztapalapa,9,2016,1,201601,ROBO_A_TRANSEUNTE,221,221,19.353306126694573,-99.05557177828054
IZTAPALAPA,Iztapalapa,9,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,20,20,19.35604419999167,-99.0733781
IZTAPALAPA,Iztapalapa,9,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,34,34,19.3563719117598,-99.0671244117647
IZTAPALAPA,Iztapalapa,9,2016,1,201601,ROBO_DE_VEHICULO,206,206,19.348740907762956,-99.06430433009709
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,1,201601,ROBO_A_CASA_HABITACION,9,9,19.30916222222222,-99.24627444444444
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,1,201601,ROBO_A_NEGOCIO,9,9,19.318927777777777,-99.23524333333333
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,1,201601,ROBO_A_TRANSEUNTE,13,13,19.314792307692308,-99.23739153846154
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,1,201601,ROBO_DE_ACCESORIOS_AUTO,5,5,19.314671999999998,-99.246978
LA MAGDALENA CONTRERAS,La Magdalena Contreras,10,2016,1,201601,ROBO_DE_VEHICULO,14,14,19.316420714285716,-99.237965
MIGUEL HIDALGO,Miguel Hidalgo,11,2016,1,201601,ROBO_A_CASA_HABITACION,26,26,19.437306346147434,-99.19691826923076
MIGUEL HIDALGO,Miguel Hidalgo,11,2016,1,201601,ROBO_A_NEGOCIO,62,62,19.434649258053756,-99.19116929032258
MIGUEL HIDALGO,Miguel Hidalgo,11,2016,1,201601,ROBO_A_TRANSEUNTE,64,64,19.4286071562474,-99.192091765625
MIGUEL HIDALGO,Miguel Hidalgo,11,2016,1,201601,ROBO_DEL_INTERIOR_DE_VEHICULO,27,27,19.43134703703704,-99.18939296296296
