tiempo_id,anio,mes,mes_nombre,trimestre,granularidad
201600,2016,0,anual,0,anual
201601,2016,1,enero,1,mensual
201602,2016,2,febrero,1,mensual
201603,2016,3,marzo,1,mensual
201604,2016,4,abril,2,mensual
201605,2016,5,mayo,2,mensual
201606,2016,6,junio,2,mensual
201607,2016,7,julio,3,mensual
201608,2016,8,agosto,3,mensual
201609,2016,9,septiembre,3,mensual
201610,2016,10,octubre,4,mensual
201611,2016,11,noviembre,4,mensual
201612,2016,12,diciembre,4,mensual
201700,2017,0,anual,0,anual
201701,2017,1,enero,1,mensual
201702,2017,2,febrero,1,mensual
201703,2017,3,marzo,1,mensual
201704,2017,4,abril,2,mensual
201705,2017,5,mayo,2,mensual
201706,2017,6,junio,2,mensual
201707,2017,7,julio,3,mensual
201708,2017,8,agosto,3,mensual
201709,2017,9,septiembre,3,mensual
201710,2017,10,octubre,4,mensual
201711,2017,11,noviembre,4,mensual
201712,2017,12,diciembre,4,mensual
201800,2018,0,anual,0,anual
201801,2018,1,enero,1,mensual
201802,2018,2,febrero,1,mensual
201803,2018,3,marzo,1,mensual
201804,2018,4,abril,2,mensual
201805,2018,5,mayo,2,mensual
201806,2018,6,junio,2,mensual
201807,2018,7,julio,3,mensual
201808,2018,8,agosto,3,mensual
201809,2018,9,septiembre,3,mensual
201810,2018,10,octubre,4,mensual
201811,2018,11,noviembre,4,mensual
201812,2018,12,diciembre,4,mensual
201900,2019,0,anual,0,anual
201901,2019,1,enero,1,mensual
201902,2019,2,febrero,1,mensual
201903,2019,3,marzo,1,mensual
201904,2019,4,abril,2,mensual
201905,2019,5,mayo,2,mensual
201906,2019,6,junio,2,mensual
201907,2019,7,julio,3,mensual
201908,2019,8,agosto,3,mensual
201909,2019,9,septiembre,3,mensual
201910,2019,10,octubre,4,mensual
201911,2019,11,noviembre,4,mensual
201912,2019,12,diciembre,4,mensual
202000,2020,0,anual,0,anual
202001,2020,1,enero,1,mensual
202002,2020,2,febrero,1,mensual
202003,2020,3,marzo,1,mensual
202004,2020,4,abril,2,mensual
202005,2020,5,mayo,2,mensual
202006,2020,6,junio,2,mensual
202007,2020,7,julio,3,mensual
202008,2020,8,agosto,3,mensual
202009,2020,9,septiembre,3,mensual
202010,2020,10,octubre,4,mensual
202011,2020,11,noviembre,4,mensual
202012,2020,12,diciembre,4,mensual
202100,2021,0,anual,0,anual
202101,2021,1,enero,1,mensual
202102,2021,2,febrero,1,mensual
202103,2021,3,marzo,1,mensual
202104,2021,4,abril,2,mensual
202105,2021,5,mayo,2,mensual
202106,2021,6,junio,2,mensual
202107,2021,7,julio,3,mensual
202108,2021,8,agosto,3,mensual
202109,2021,9,septiembre,3,mensual
202110,2021,10,octubre,4,mensual
202111,2021,11,noviembre,4,mensual
202112,2021,12,diciembre,4,mensual
202200,2022,0,anual,0,anual_snapshot
202201,2022,1,enero,1,mensual
202202,2022,2,febrero,1,mensual
202203,2022,3,marzo,1,mensual
202204,2022,4,abril,2,mensual
202205,2022,5,mayo,2,mensual
202206,2022,6,junio,2,mensual
202207,2022,7,julio,3,mensual
202208,2022,8,agosto,3,mensual
202209,2022,9,septiembre,3,mensual
202210,2022,10,octubre,4,mensual
202211,2022,11,noviembre,4,mensual
202212,2022,12,diciembre,4,mensual
202300,2023,0,anual,0,anual
202301,2023,1,enero,1,mensual
202302,2023,2,febrero,1,mensual
202303,2023,3,marzo,1,mensual
202304,2023,4,abril,2,mensual
202305,2023,5,mayo,2,mensual
202306,2023,6,junio,2,mensual
202307,2023,7,julio,3,mensual
202308,2023,8,agosto,3,mensual
202309,2023,9,septiembre,3,mensual
202310,2023,10,octubre,4,mensual
202311,2023,11,noviembre,4,mensual
202312,2023,12,diciembre,4,mensual
202400,2024,0,anual,0,anual
202401,2024,1,enero,1,mensual
202402,2024,2,febrero,1,mensual
202403,2024,3,marzo,1,mensual
202404,2024,4,abril,2,mensual
202405,2024,5,mayo,2,mensual
202406,2024,6,junio,2,mensual
202407,2024,7,julio,3,mensual
202408,2024,8,agosto,3,mensual
202409,2024,9,septiembre,3,mensual
202410,2024,10,octubre,4,mensual
202411,2024,11,noviembre,4,mensual
202412,2024,12,diciembre,4,mensual
202500,2025,0,anual,0,anual
202501,2025,1,enero,1,mensual
