alcaldia_id,tiempo_id,fuente_datos_id,total_delitos_fgj,total_robos_patrimoniales,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo
2,200000,3,10,3,1,0,0,2,0,0
1,200000,3,9,0,0,0,0,0,0,0
3,200000,3,10,2,0,1,0,0,1,0
4,200000,3,6,1,0,1,0,0,0,0
5,200000,3,1,0,0,0,0,0,0,0
6,200000,3,59,3,0,2,0,0,1,0
7,200000,3,14,0,0,0,0,0,0,0
8,200000,3,7,0,0,0,0,0,0,0
9,200000,3,29,0,0,0,0,0,0,0
10,200000,3,1,0,0,0,0,0,0,0
11,200000,3,9,1,1,0,0,0,0,0
12,200000,3,2,0,0,0,0,0,0,0
13,200000,3,2,1,1,0,0,0,0,0
14,200000,3,6,0,0,0,0,0,0,0
15,200000,3,10,1,0,0,0,1,0,0
16,200000,3,10,0,0,0,0,0,0,0
2,200100,3,18,4,3,0,0,1,0,0
1,200100,3,12,5,3,1,0,1,0,0
3,200100,3,12,1,0,0,0,0,0,1
4,200100,3,22,2,1,1,0,0,0,0
5,200100,3,5,1,0,0,0,0,0,1
6,200100,3,50,5,3,1,0,0,1,0
7,200100,3,21,4,2,0,1,1,0,0
8,200100,3,8,1,1,0,0,0,0,0
9,200100,3,41,7,4,1,0,2,0,0
10,200100,3,5,0,0,0,0,0,0,0
11,200100,3,11,1,1,0,0,0,0,0
12,200100,3,1,0,0,0,0,0,0,0
13,200100,3,8,2,1,0,1,0,0,0
14,200100,3,8,1,0,1,0,0,0,0
15,200100,3,12,2,2,0,0,0,0,0
16,200100,3,8,1,1,0,0,0,0,0
2,200200,3,25,5,0,4,0,1,0,0
1,200200,3,13,2,1,1,0,0,0,0
3,200200,3,16,5,0,3,0,0,1,1
4,200200,3,25,7,2,2,1,1,1,0
5,200200,3,8,1,1,0,0,0,0,0
6,200200,3,71,9,3,3,0,1,0,2
7,200200,3,23,1,0,1,0,0,0,0
8,200200,3,13,2,1,0,0,1,0,0
9,200200,3,45,3,1,1,1,0,0,0
10,200200,3,3,0,0,0,0,0,0,0
11,200200,3,15,2,2,0,0,0,0,0
12,200200,3,2,1,1,0,0,0,0,0
13,200200,3,13,2,0,0,0,1,1,0
14,200200,3,17,1,0,1,0,0,0,0
15,200200,3,12,2,1,0,0,0,0,1
16,200200,3,8,2,2,0,0,0,0,0
2,200300,3,7,0,0,0,0,0,0,0
1,200300,3,6,0,0,0,0,0,0,0
3,200300,3,8,0,0,0,0,0,0,0
4,200300,3,7,1,0,1,0,0,0,0
5,200300,3,6,0,0,0,0,0,0,0
6,200300,3,67,1,0,1,0,0,0,0
7,200300,3,18,2,1,1,0,0,0,0
8,200300,3,4,0,0,0,0,0,0,0
9,200300,3,26,1,1,0,0,0,0,0
10,200300,3,1,0,0,0,0,0,0,0
11,200300,3,8,0,0,0,0,0,0,0
13,200300,3,6,0,0,0,0,0,0,0
14,200300,3,9,0,0,0,0,0,0,0
15,200300,3,8,0,0,0,0,0,0,0
16,200300,3,7,0,0,0,0,0,0,0
2,200400,3,16,1,0,0,0,0,1,0
1,200400,3,14,1,0,0,1,0,0,0
3,200400,3,21,1,1,0,0,0,0,0
4,200400,3,16,0,0,0,0,0,0,0
5,200400,3,7,1,0,1,0,0,0,0
6,200400,3,61,1,1,0,0,0,0,0
7,200400,3,25,0,0,0,0,0,0,0
8,200400,3,5,0,0,0,0,0,0,0
9,200400,3,44,3,3,0,0,0,0,0
10,200400,3,5,0,0,0,0,0,0,0
11,200400,3,13,2,1,0,0,0,0,1
12,200400,3,1,1,0,0,1,0,0,0
13,200400,3,3,0,0,0,0,0,0,0
14,200400,3,17,1,0,1,0,0,0,0
15,200400,3,8,0,0,0,0,0,0,0
16,200400,3,9,0,0,0,0,0,0,0
2,200500,3,9,0,0,0,0,0,0,0
1,200500,3,14,0,0,0,0,0,0,0
3,200500,3,25,1,0,0,0,1,0,0
4,200500,3,10,0,0,0,0,0,0,0
5,200500,3,4,0,0,0,0,0,0,0
6,200500,3,78,1,0,0,0,0,0,1
7,200500,3,16,0,0,0,0,0,0,0
8,200500,3,11,0,0,0,0,0,0,0
