alcaldia_id,tiempo_id,delito_subtipo_id,fuente_datos_id,total_delitos,registros_con_coordenadas,latitud_promedio,longitud_promedio
3,200001,7,3,1,1,19.40052,-99.15409
4,200001,7,3,1,1,19.34057,-99.1463
6,200001,7,3,14,10,19.42893702221486,-99.15191205744578
7,200001,7,3,1,1,19.57027,-99.13744
8,200001,7,3,2,1,19.38337,-99.1041
9,200001,7,3,6,5,19.34312629119232,-99.03781276003748
12,200001,7,3,1,1,19.19342,-99.09022
14,200001,7,3,3,3,19.2740810173504,-99.17660861579816
15,200001,7,3,1,1,19.41595,-99.07634
16,200001,7,3,1,1,19.2507680352,-99.0152233999
2,200002,1,3,1,1,19.3708,-99.20384
6,200002,7,3,5,3,19.434561906939063,-99.14515286239548
7,200002,7,3,2,2,19.4792514701229,-99.0964278503299
9,200002,7,3,4,3,19.327312396092665,-99.05768126667029
10,200002,7,3,1,1,19.3041977479058,-99.2526899117672
16,200002,7,3,1,1,19.2472269721828,-99.1277222302703
4,200003,7,3,1,1,19.33702,-99.11775
6,200003,7,3,5,4,19.427774966037724,-99.1500551544345
7,200003,7,3,2,2,19.47253,-99.07333
9,200003,7,3,2,0,\N,\N
11,200003,7,3,1,1,19.450838512924,-99.1726800799836
14,200003,7,3,2,2,19.2774896692533,-99.20725117324474
2,200004,7,3,1,1,19.3277235492574,-99.268545081248
3,200004,7,3,1,1,19.3697393698338,-99.1475846599999
6,200004,7,3,1,1,19.4259834937307,-99.1422528796434
6,200004,2,3,1,1,19.4436910318424,-99.1540977399265
7,200004,7,3,2,2,19.48084190985,-99.12595710675
9,200004,7,3,2,2,19.3573438879667,-99.05826451963006
11,200004,7,3,3,2,19.436177943041105,-99.18719886000125
14,200004,7,3,1,1,19.2005767799835,-99.1437324253866
2,200005,7,3,2,2,19.3418400140363,-99.2240863649633
3,200005,7,3,2,2,19.386455,-99.15506
3,200005,2,3,1,1,19.37702,-99.16308
4,200005,7,3,1,1,19.3116,-99.15858
6,200005,7,3,6,5,19.431019930853576,-99.14908886015492
7,200005,7,3,1,1,19.47864,-99.09638
8,200005,7,3,1,1,19.39282,-99.11979
9,200005,7,3,2,2,19.37283904631465,-99.05363372195504
15,200005,7,3,1,1,19.4055096061747,-99.1123941985445
16,200005,7,3,2,2,19.2679054115682,-99.09848796774804
2,200006,7,3,1,1,19.35169,-99.1823
3,200006,7,3,1,1,19.37891,-99.14094
6,200006,7,3,4,4,19.4257159944044,-99.14128522751332
9,200006,7,3,4,3,19.34172956210317,-99.06740125078768
15,200006,7,3,2,2,19.42152084865,-99.1169777994
2,200007,4,3,1,1,19.3457740990486,-99.1952588302332
1,200007,7,3,2,1,19.5065096036746,-99.1988826196455
3,200007,7,3,2,2,19.38333826395,-99.1673001231
4,200007,7,3,1,1,19.302,-99.14423
6,200007,7,3,8,7,19.431993895233493,-99.14796350107513
9,200007,7,3,1,0,\N,\N
11,200007,7,3,2,2,19.448296164913785,-99.17978089983202
15,200007,7,3,1,1,19.4410225646879,-99.0926182558019
16,200007,7,3,2,2,19.27649636574405,-99.1158629373352
2,200008,7,3,1,1,19.39727,-99.20701
1,200008,7,3,2,2,19.49323444846755,-99.17876961617074
3,200008,7,3,1,1,19.37549,-99.14893
4,200008,7,3,1,1,19.35229,-99.12431
6,200008,7,3,2,2,19.427755,-99.14574
6,200008,5,3,1,1,19.43105,-99.1466
7,200008,7,3,4,4,19.50572946018325,-99.1213796217
9,200008,7,3,1,1,19.3617283823337,-99.1349626183266
11,200008,7,3,1,1,19.44768,-99.16587
11,200008,1,3,1,1,19.4578862789136,-99.2024697200554
12,200008,7,3,1,1,19.1853751389332,-99.0339172132719
13,200008,7,3,1,1,19.2755238234,-98.9949956211
13,200008,1,3,1,1,19.269209720768,-99.0079115297227
15,200008,7,3,2,2,19.4278720481666,-99.12170649992
1,200009,7,3,1,1,19.49759455287081,-99.19555287970468
3,200009,5,3,1,1,19.39742,-99.14011
6,200009,7,3,6,6,19.426989692766384,-99.14695774082936
7,200009,7,3,2,2,19.50742,-99.1137
9,200009,7,3,2,2,19.34155634198115,-99.085572045217
16,200009,7,3,1,1,19.2351909528013,-99.128426113615
1,200010,7,3,3,3,19.47950243569197,-99.18039632172122
5,200010,7,3,1,1,19.3813218342045,-99.2546831196251
8,200010,7,3,1,1,19.4108791329364,-99.0700958703875
9,200010,7,3,2,0,\N,\N
16,200010,7,3,2,2,19.271880000000003,-99.11933
1,200011,7,3,1,1,19.50193,-99.20397
4,200011,2,3,1,1,19.3027091940083,-99.190212790198
6,200011,7,3,2,1,19.41921,-99.15412
8,200011,7,3,2,2,19.40219355793295,-99.09399724995356
9,200011,7,3,2,2,19.333473440215748,-99.0417185136581
11,200011,7,3,1,1,19.42673,-99.19181
15,200011,7,3,2,2,19.421882169224,-99.091266769429
15,200011,4,3,1,1,19.40947,-99.07989
16,200011,7,3,1,1,19.26963,-99.12417
2,200012,7,3,2,2,19.3659714784,-99.2216637246
2,200012,4,3,1,1,19.32723,-99.26573
6,200012,7,3,3,2,19.429425,-99.14338
6,200012,2,3,1,1,19.40648,-99.1723
