alcaldia_id,tiempo_id,fuente_datos_id,total_delitos_fgj,total_robos_patrimoniales,total_no_robos_patrimoniales,share_robos_patrimoniales_sobre_total_delitos
2,201600,3,12378,3837,8541,0.3099854580707707
1,201600,3,10093,3736,6357,0.3701575349251956
3,201600,3,16550,5945,10605,0.359214501510574
4,201600,3,13631,4604,9027,0.3377595187440393
5,201600,3,2825,623,2202,0.2205309734513274
6,201600,3,31975,8827,23148,0.2760594214229867
7,201600,3,19019,6672,12347,0.3508070876491929
8,201600,3,8089,2426,5663,0.2999134627271603
9,201600,3,29337,9816,19521,0.3345945393189488
10,201600,3,3080,685,2395,0.2224025974025974
11,201600,3,12631,3422,9209,0.2709207505343995
12,201600,3,1134,224,910,0.1975308641975308
13,201600,3,4180,1074,3106,0.2569377990430622
14,201600,3,11638,3516,8122,0.3021137652517615
15,201600,3,10880,3181,7699,0.2923713235294117
16,201600,3,6216,1958,4258,0.314993564993565
2,201700,3,14408,5127,9281,0.3558439755691283
1,201700,3,11342,4904,6438,0.432375242461647
3,201700,3,20271,8787,11484,0.4334763948497854
4,201700,3,15336,5428,9908,0.3539384454877413
5,201700,3,3095,701,2394,0.2264943457189014
6,201700,3,37172,12737,24435,0.342650382007963
7,201700,3,22794,8195,14599,0.3595244362551548
8,201700,3,9720,3678,6042,0.378395061728395
9,201700,3,33497,11687,21810,0.348896916141744
10,201700,3,3238,756,2482,0.2334774552192711
11,201700,3,15753,6130,9623,0.3891322287818193
12,201700,3,1446,260,1186,0.1798063623789765
13,201700,3,5195,1388,3807,0.2671799807507218
14,201700,3,12724,3766,8958,0.2959761081420937
15,201700,3,12813,3931,8882,0.3067977835011317
16,201700,3,6915,2281,4634,0.3298626174981923
2,201800,3,16792,6753,10039,0.4021557884707003
1,201800,3,12246,5544,6702,0.4527192552670259
3,201800,3,22743,10770,11973,0.4735523018071494
4,201800,3,17059,6531,10528,0.3828477636438244
5,201800,3,3544,917,2627,0.2587471783295711
6,201800,3,41285,16666,24619,0.4036817245973114
7,201800,3,25471,9984,15487,0.391975187468101
8,201800,3,11068,4851,6217,0.4382905674015179
9,201800,3,37671,15275,22396,0.4054843248121897
10,201800,3,3642,887,2755,0.243547501372872
11,201800,3,16740,7773,8967,0.464336917562724
12,201800,3,1780,358,1422,0.2011235955056179
13,201800,3,5878,1708,4170,0.290575025518884
14,201800,3,14521,4829,9692,0.3325528544866056
15,201800,3,15132,5227,9905,0.3454269098598995
16,201800,3,7625,2591,5034,0.3398032786885246
2,201900,3,18100,6455,11645,0.3566298342541436
1,201900,3,10941,4074,6867,0.3723608445297505
3,201900,3,20199,8338,11861,0.4127927125105203
4,201900,3,15821,5422,10399,0.3427090575816952
5,201900,3,3779,929,2850,0.2458322307488753
6,201900,3,37547,12229,25318,0.3256984579327243
7,201900,3,24436,8680,15756,0.3552136192502864
8,201900,3,10201,3912,6289,0.3834918145279875
9,201900,3,38447,13750,24697,0.3576351861003459
10,201900,3,4047,978,3069,0.2416604892512972
11,201900,3,16167,6642,9525,0.4108368899610317
12,201900,3,1693,308,1385,0.1819255759007678
13,201900,3,6042,1652,4390,0.2734193975504799
14,201900,3,14565,4686,9879,0.3217301750772399
15,201900,3,14580,4924,9656,0.3377229080932785
16,201900,3,7463,2201,5262,0.2949216132922417
2,202000,3,15073,4704,10369,0.3120812048032906
1,202000,3,10247,3669,6578,0.3580560163950425
3,202000,3,15315,5926,9389,0.3869409076069213
4,202000,3,13634,4476,9158,0.3282969047968314
5,202000,3,3416,761,2655,0.2227751756440281
6,202000,3,28615,8004,20611,0.2797134370085619
7,202000,3,21791,6345,15446,0.2911752558395667
8,202000,3,8161,2336,5825,0.2862394314422252
9,202000,3,31705,9815,21890,0.3095726226147295
10,202000,3,4061,748,3313,0.1841910859394238
11,202000,3,12749,4469,8280,0.3505372970429053
12,202000,3,1782,253,1529,0.1419753086419753
13,202000,3,5997,1250,4747,0.208437552109388
14,202000,3,12726,3663,9063,0.2878359264497878
15,202000,3,11909,3395,8514,0.2850785120497103
16,202000,3,7131,1629,5502,0.2284392090870845
2,202100,3,15997,4092,11905,0.2557979621178971
1,202100,3,11564,3568,7996,0.3085437564856451
3,202100,3,16146,5465,10681,0.3384739254304472
4,202100,3,15602,4596,11006,0.29457761825407
5,202100,3,3919,758,3161,0.1934166879305945
6,202100,3,33188,8231,24957,0.2480113293961673
7,202100,3,23694,6115,17579,0.2580822149067274
8,202100,3,9566,2344,7222,0.2450344971775036
9,202100,3,33339,8804,24535,0.2640751072317706
10,202100,3,4479,733,3746,0.1636526010270149
11,202100,3,13630,4317,9313,0.3167278063096111
12,202100,3,2403,293,2110,0.1219309196837286
13,202100,3,7153,1281,5872,0.179085698308402
14,202100,3,13908,3552,10356,0.2553925798101812
15,202100,3,12907,3549,9358,0.2749670721314016
16,202100,3,7623,1480,6143,0.1941492850583759
2,202200,3,15608,3524,12084,0.225781650435674
1,202200,3,11595,3073,8522,0.265028029322984
3,202200,3,16887,5174,11713,0.3063895304080061
4,202200,3,16945,4585,12360,0.2705812924166421
5,202200,3,3968,677,3291,0.1706149193548387
6,202200,3,35575,8927,26648,0.2509346451159522
7,202200,3,24078,5572,18506,0.2314145693163884
8,202200,3,11170,2173,8997,0.1945389435989257
9,202200,3,33576,7601,25975,0.2263819394805813
10,202200,3,4673,684,3989,0.1463727797988444
11,202200,3,13878,3843,10035,0.2769130998702983
12,202200,3,2688,223,2465,0.0829613095238095
13,202200,3,7723,1212,6511,0.1569338340023307
14,202200,3,14531,3522,11009,0.2423783634987268
15,202200,3,13229,3402,9827,0.2571622949580467
16,202200,3,8004,1484,6520,0.1854072963518241
2,202300,3,15626,3567,12059,0.2282733905030078
1,202300,3,10129,2800,7329,0.27643400138217
3,202300,3,16849,5646,11203,0.3350940708647397
4,202300,3,16330,4563,11767,0.2794243723208818
5,202300,3,4296,688,3608,0.1601489757914339
6,202300,3,32800,9625,23175,0.2934451219512195
7,202300,3,23353,5374,17979,0.2301203271528283
8,202300,3,10454,2002,8452,0.1915056437727186
9,202300,3,32770,6698,26072,0.2043942630454684
10,202300,3,4856,785,4071,0.16165568369028
11,202300,3,13748,3964,9784,0.2883328484143148
12,202300,3,2402,227,2175,0.0945045795170691
13,202300,3,7740,1169,6571,0.1510335917312661
14,202300,3,14617,3549,11068,0.2427994800574673
15,202300,3,13147,3229,9918,0.2456073628964782
16,202300,3,7934,1264,6670,0.159314343332493
2,202400,3,13642,3045,10597,0.2232077408004691
1,202400,3,8999,2441,6558,0.2712523613734859
3,202400,3,15740,5205,10535,0.3306861499364676
4,202400,3,14936,4241,10695,0.2839448312801285
5,202400,3,3681,758,2923,0.2059223037218147
6,202400,3,29703,9016,20687,0.3035383631283035
7,202400,3,20743,4563,16180,0.2199778238441884
8,202400,3,9865,1963,7902,0.1989863152559554
9,202400,3,28698,5612,23086,0.1955536971217506
10,202400,3,4444,714,3730,0.1606660666066606
11,202400,3,12386,3487,8899,0.2815275310834813
12,202400,3,2353,198,2155,0.0841478963025924
13,202400,3,6765,1020,5745,0.1507760532150776
14,202400,3,14067,3309,10758,0.2352313926210279
15,202400,3,12084,2669,9415,0.2208705726580602
16,202400,3,7048,1160,5888,0.1645856980703745
2,202500,3,785,229,556,0.2917197452229299
1,202500,3,545,187,358,0.3431192660550459
3,202500,3,831,327,504,0.3935018050541516
4,202500,3,854,321,533,0.3758782201405152
5,202500,3,216,43,173,0.199074074074074
6,202500,3,1790,610,1180,0.3407821229050279
7,202500,3,1190,265,925,0.2226890756302521
8,202500,3,637,129,508,0.2025117739403453
9,202500,3,1718,400,1318,0.2328288707799767
10,202500,3,229,40,189,0.1746724890829694
11,202500,3,684,235,449,0.3435672514619883
12,202500,3,107,14,93,0.1308411214953271
13,202500,3,410,70,340,0.1707317073170731
14,202500,3,790,198,592,0.250632911392405
15,202500,3,733,155,578,0.2114597544338335
16,202500,3,384,89,295,0.2317708333333333
