colonia_id,alcaldia_id,snapshot_tiempo_id,fuente_datos_id,infraestructura_actualizacion_anio,infraestructura_es_snapshot,infraestructura_temporalidad,cve_col,ba1_noeqsa,ba8_nomerc,ba8_noloca,ba9_no_gua,ba3_noeqed,resid_ton,alump_sum,alump_mean,p_porcelec,p_aguapot,r_val_dren
1,1,202200,2,2022,True,static_snapshot_2022,02-001,0,0,0,0,1,2.618,10.0,1.0,98.95288,98.95288,3
2,1,202200,2,2022,True,static_snapshot_2022,02-002,0,0,0,0,2,4.391,28.0,1.27272727273,99.15344,98.83598,3
3,1,202200,2,2022,True,static_snapshot_2022,02-005,0,0,0,0,3,3.558,12.0,1.0,99.30394,99.18794,2
4,1,202200,2,2022,True,static_snapshot_2022,02-006,0,1,198,1,4,6.262,37.0,1.0,98.96755,99.0413,3
5,1,202200,2,2022,True,static_snapshot_2022,02-007,2,1,546,1,7,3.956,47.0,1.46875,94.64883,94.53735,5
6,1,202200,2,2022,True,static_snapshot_2022,02-008,0,1,98,0,7,12.44,126.0,1.38461538462,99.19732,98.92977,3
7,1,202200,2,2022,True,static_snapshot_2022,02-009,0,0,0,0,4,5.425,27.0,1.28571428571,99.02439,93.85366,5
9,1,202200,2,2022,True,static_snapshot_2022,02-011,0,0,0,0,3,1.29,17.0,1.0,89.09774,89.09774,5
11,1,202200,2,2022,True,static_snapshot_2022,02-013,0,0,0,0,3,3.184,92.0,2.04444444444,97.94344,97.30077,4
12,1,202200,2,2022,True,static_snapshot_2022,02-014,0,0,0,0,3,5.682,165.0,2.01219512195,99.38942,99.11805,2
13,1,202200,2,2022,True,static_snapshot_2022,02-015,1,0,0,0,3,6.314,76.0,1.52,98.83805,97.16776,4
14,1,202200,2,2022,True,static_snapshot_2022,02-016,0,0,0,0,2,1.63,33.0,2.0625,98.11828,97.04301,4
15,1,202200,2,2022,True,static_snapshot_2022,02-017,2,0,0,1,1,0.9334,6.0,1.0,99.0099,98.51485,3
16,1,202200,2,2022,True,static_snapshot_2022,02-018,0,0,0,0,6,12.04,67.0,1.39583333333,99.04377,98.56565,3
18,1,202200,2,2022,True,static_snapshot_2022,02-020,0,0,0,0,0,0.4771,27.0,2.07692307692,100.0,99.0566,3
19,1,202200,2,2022,True,static_snapshot_2022,02-021,0,1,41,0,3,1.837,89.0,3.2962962963,97.05882,93.46405,5
20,1,202200,2,2022,True,static_snapshot_2022,02-023,1,0,0,0,5,8.55,70.0,1.59090909091,98.67925,98.67925,3
21,1,202200,2,2022,True,static_snapshot_2022,02-024,2,0,0,0,5,13.99,176.0,1.93406593407,98.38883,98.20981,4
22,1,202200,2,2022,True,static_snapshot_2022,02-025,1,0,0,1,10,11.72,206.0,1.77586206897,98.32957,96.02709,4
23,1,202200,2,2022,True,static_snapshot_2022,02-026,1,0,0,0,3,5.756,27.0,1.28571428571,98.58921,98.58921,3
24,1,202200,2,2022,True,static_snapshot_2022,02-027,0,0,0,0,1,2.972,37.0,1.1935483871,98.07356,97.02277,4
25,1,202200,2,2022,True,static_snapshot_2022,02-028,0,0,0,0,2,2.131,58.0,2.07142857143,98.04401,97.06601,4
26,1,202200,2,2022,True,static_snapshot_2022,02-029,0,0,0,0,0,4.169,57.0,2.11111111111,98.9071,97.9235,4
27,1,202200,2,2022,True,static_snapshot_2022,02-030,1,0,0,0,5,4.776,81.0,1.62,98.95725,98.01877,4
29,1,202200,2,2022,True,static_snapshot_2022,02-032,0,0,0,0,1,4.861,67.0,1.675,99.82285,99.29141,1
30,1,202200,2,2022,True,static_snapshot_2022,02-033,0,0,0,0,0,1.968,21.0,2.1,98.15242,97.92148,4
32,1,202200,2,2022,True,static_snapshot_2022,02-035,0,1,177,1,2,2.081,13.0,1.3,100.0,97.49431,4
33,1,202200,2,2022,True,static_snapshot_2022,02-036,0,0,0,0,4,0.5564,104.0,1.96226415094,83.16151,70.44674,5
34,1,202200,2,2022,True,static_snapshot_2022,02-037,0,0,0,0,0,2.006,87.0,2.02325581395,97.7887,97.0516,4
35,1,202200,2,2022,True,static_snapshot_2022,02-038,0,0,0,0,1,3.494,15.0,1.5,99.49749,99.49749,1
37,1,202200,2,2022,True,static_snapshot_2022,02-040,0,0,0,0,2,4.875,29.0,1.38095238095,99.50298,99.50298,1
38,1,202200,2,2022,True,static_snapshot_2022,02-041,2,0,0,1,2,3.234,33.0,1.1,97.65739,97.36457,4
40,1,202200,2,2022,True,static_snapshot_2022,02-043,0,0,0,0,2,3.185,26.0,1.13043478261,99.28977,98.86364,3
41,1,202200,2,2022,True,static_snapshot_2022,02-044,0,0,0,0,0,1.512,22.0,2.2,100.0,98.93048,3
42,1,202200,2,2022,True,static_snapshot_2022,02-045,1,0,0,0,2,4.468,28.0,1.47368421053,99.90512,99.62049,1
43,1,202200,2,2022,True,static_snapshot_2022,02-046,0,0,0,0,1,3.767,66.0,2.12903225806,98.96373,98.70466,3
44,1,202200,2,2022,True,static_snapshot_2022,02-047,0,0,0,0,0,3.663,57.0,1.72727272727,99.85359,99.70717,1
46,1,202200,2,2022,True,static_snapshot_2022,02-049,0,0,0,1,1,3.14,18.0,1.5,99.70326,99.5549,1
47,1,202200,2,2022,True,static_snapshot_2022,02-050,0,0,0,0,0,0.3627,1.0,1.0,100.0,100.0,1
49,1,202200,2,2022,True,static_snapshot_2022,02-052,0,1,126,0,4,13.25,136.0,1.27102803738,99.00768,98.59155,3
50,1,202200,2,2022,True,static_snapshot_2022,02-053,1,0,0,0,1,3.622,23.0,1.15,98.64458,97.89157,4
51,1,202200,2,2022,True,static_snapshot_2022,02-054,0,1,125,0,3,6.309,27.0,1.28571428571,99.38356,98.83562,3
53,1,202200,2,2022,True,static_snapshot_2022,02-056,0,1,122,0,4,8.147,47.0,1.34285714286,99.94243,99.53944,1
