alcaldia_id,tiempo_id,fuente_datos_id,target_robos_patrimoniales_total,robo_a_transeunte,robo_a_negocio,robo_a_casa_habitacion,robo_de_vehiculo,robo_de_accesorios_auto,robo_del_interior_de_vehiculo,target_robos_log1p
2,201600,4,3837,1299,1055,358,570,222,333,8.252706676567644
1,201600,4,3736,960,1008,366,725,287,390,8.226038429485484
3,201600,4,5945,1558,1754,640,896,674,423,8.690474003558043
4,201600,4,4604,1058,1332,473,933,342,466,8.434897948689407
5,201600,4,623,97,277,89,84,28,48,6.436150368369428
6,201600,4,8827,4127,2393,564,903,496,344,9.085683767376628
7,201600,4,6672,1943,1740,668,1718,351,252,8.805824812903607
8,201600,4,2426,919,386,276,506,181,158,7.794411205726601
9,201600,4,9816,3466,2590,881,2146,342,391,9.19187085569252
10,201600,4,685,164,96,164,152,55,54,6.530877627725885
11,201600,4,3422,985,945,350,618,171,353,8.138272638530186
12,201600,4,224,35,42,52,72,12,11,5.41610040220442
13,201600,4,1074,323,211,197,229,57,57,6.980075940561763
14,201600,4,3516,647,1039,578,737,259,256,8.165363632473982
15,201600,4,3181,1190,723,331,525,245,167,8.065265208897733
16,201600,4,1958,608,333,307,495,75,140,7.580189417944541
2,201700,4,5127,1986,1097,373,624,326,721,8.542470998600505
1,201700,4,4904,1686,1113,300,770,401,634,8.498010371999463
3,201700,4,8787,2704,1883,724,714,1819,943,9.0811424335045
4,201700,4,5428,1493,1246,558,868,552,711,8.599510233905452
5,201700,4,701,108,248,129,84,35,97,6.553933404025811
6,201700,4,12737,6854,2530,594,999,1081,679,9.45234493093131
7,201700,4,8195,2527,2042,702,1490,809,625,9.011401509358793
8,201700,4,3678,1669,514,303,492,305,395,8.210396255104774
9,201700,4,11687,4461,2929,921,2246,428,702,9.366317953430537
10,201700,4,756,137,122,211,123,64,99,6.6293632534374485
11,201700,4,6130,2478,1397,373,649,389,844,8.721113147762688
12,201700,4,260,57,33,78,76,6,10,5.564520407322694
13,201700,4,1388,508,285,180,290,52,73,7.236339342754344
14,201700,4,3766,779,931,514,705,439,398,8.23403420769204
15,201700,4,3931,1499,1005,362,387,322,356,8.276903481267057
16,201700,4,2281,736,403,380,478,77,207,7.732807530422021
2,201800,4,6753,2864,1463,437,799,448,742,8.817890200945513
1,201800,4,5544,2081,1225,387,834,428,589,8.620651899784468
3,201800,4,10770,3116,2366,850,1330,2154,954,9.28461261635077
4,201800,4,6531,1938,1433,639,980,687,854,8.784468454090355
5,201800,4,917,182,298,132,96,64,145,6.822197390620491
